carre;annee;espece;abond
10100;2007;GITHUB;7
10120;2008;GITHUB;3
10120;2009;GITHUB;9
10120;2010;GITHUB;9
10295;2002;GITHUB;5
10295;2003;GITHUB;1
10295;2004;GITHUB;8
10295;2005;GITHUB;7
10295;2008;GITHUB;3
10295;2010;GITHUB;6
10295;2012;GITHUB;6
10295;2017;GITHUB;9
10295;2018;GITHUB;5
10487;2010;GITHUB;1
10492;2017;GITHUB;4
10492;2018;GITHUB;1
10506;2008;GITHUB;3
10506;2009;GITHUB;2
10506;2010;GITHUB;0
10511;2008;GITHUB;1
10511;2009;GITHUB;3
10511;2010;GITHUB;2
10511;2011;GITHUB;0
10511;2012;GITHUB;7
10511;2013;GITHUB;6
10511;2014;GITHUB;1
10511;2015;GITHUB;9
10511;2016;GITHUB;3
10511;2017;GITHUB;3
10511;2018;GITHUB;3
10521;2008;GITHUB;3
10521;2009;GITHUB;7
10521;2010;GITHUB;6
10521;2011;GITHUB;9
10521;2012;GITHUB;0
10521;2013;GITHUB;7
10521;2014;GITHUB;4
10521;2015;GITHUB;1
10521;2016;GITHUB;4
10521;2017;GITHUB;5
10521;2018;GITHUB;8
10604;2002;GITHUB;7
10604;2003;GITHUB;4
10604;2004;GITHUB;2
10604;2005;GITHUB;8
10607;2008;GITHUB;4
10607;2009;GITHUB;0
10607;2010;GITHUB;6
10623;2017;GITHUB;2
10623;2018;GITHUB;3
10696;2002;GITHUB;0
10696;2003;GITHUB;9
10696;2004;GITHUB;2
10696;2005;GITHUB;7
10873;2017;GITHUB;8
10873;2018;GITHUB;3
10884;2017;GITHUB;1
10884;2018;GITHUB;3
10914;2004;GITHUB;7
10914;2005;GITHUB;1
10914;2006;GITHUB;3
10914;2007;GITHUB;0
10914;2008;GITHUB;2
10914;2009;GITHUB;6
10914;2010;GITHUB;9
10914;2011;GITHUB;5
10914;2012;GITHUB;4
10914;2013;GITHUB;7
10914;2014;GITHUB;3
10914;2015;GITHUB;7
10914;2016;GITHUB;8
10914;2017;GITHUB;7
10914;2018;GITHUB;0
10916;2017;GITHUB;9
10916;2018;GITHUB;3
10935;2002;GITHUB;2
10935;2003;GITHUB;9
10935;2004;GITHUB;5
10935;2005;GITHUB;4
10935;2006;GITHUB;0
10935;2007;GITHUB;0
10935;2008;GITHUB;7
10935;2009;GITHUB;8
10935;2010;GITHUB;8
10935;2011;GITHUB;7
10935;2012;GITHUB;3
10935;2013;GITHUB;3
10935;2014;GITHUB;0
10935;2015;GITHUB;2
10935;2016;GITHUB;1
10935;2017;GITHUB;2
10935;2018;GITHUB;3
10947;2017;GITHUB;2
10947;2018;GITHUB;4
10952;2007;GITHUB;5
10952;2008;GITHUB;4
10952;2009;GITHUB;8
10952;2010;GITHUB;2
10952;2011;GITHUB;5
10952;2012;GITHUB;7
10952;2013;GITHUB;9
10952;2014;GITHUB;2
10952;2015;GITHUB;1
10952;2016;GITHUB;6
10952;2017;GITHUB;8
10952;2018;GITHUB;1
10957;2009;GITHUB;0
10957;2010;GITHUB;5
10957;2011;GITHUB;8
10957;2012;GITHUB;6
10999;2003;GITHUB;7
10999;2011;GITHUB;6
11020;2002;GITHUB;7
11020;2003;GITHUB;9
11020;2005;GITHUB;6
11020;2006;GITHUB;7
11020;2007;GITHUB;8
11020;2008;GITHUB;4
11020;2009;GITHUB;7
11020;2010;GITHUB;1
11020;2011;GITHUB;2
11020;2012;GITHUB;4
11020;2013;GITHUB;8
11020;2014;GITHUB;1
11020;2015;GITHUB;8
11020;2016;GITHUB;3
11020;2017;GITHUB;2
11020;2018;GITHUB;4
11036;2004;GITHUB;9
11036;2005;GITHUB;7
11036;2006;GITHUB;1
11036;2007;GITHUB;8
11036;2008;GITHUB;8
11036;2009;GITHUB;0
11036;2010;GITHUB;9
11036;2011;GITHUB;8
11036;2012;GITHUB;0
11036;2013;GITHUB;1
11036;2014;GITHUB;9
11036;2015;GITHUB;0
11036;2017;GITHUB;9
11036;2018;GITHUB;3
11103;2003;GITHUB;6
11103;2004;GITHUB;8
11103;2005;GITHUB;6
11103;2006;GITHUB;1
11103;2007;GITHUB;5
11103;2008;GITHUB;8
11103;2009;GITHUB;7
11103;2010;GITHUB;2
11103;2011;GITHUB;0
11103;2012;GITHUB;1
11103;2013;GITHUB;4
11103;2014;GITHUB;2
11103;2015;GITHUB;3
11103;2016;GITHUB;5
11103;2017;GITHUB;6
11103;2018;GITHUB;3
11134;2010;GITHUB;8
11134;2011;GITHUB;5
11134;2012;GITHUB;7
11134;2013;GITHUB;1
11134;2014;GITHUB;1
11158;2005;GITHUB;2
11158;2006;GITHUB;5
11158;2007;GITHUB;1
11158;2008;GITHUB;6
11158;2009;GITHUB;9
11158;2010;GITHUB;1
11158;2011;GITHUB;5
11158;2012;GITHUB;6
11158;2013;GITHUB;8
11158;2014;GITHUB;6
11158;2015;GITHUB;3
11158;2016;GITHUB;0
11158;2017;GITHUB;9
11158;2018;GITHUB;7
11159;2002;GITHUB;5
11159;2003;GITHUB;4
11159;2004;GITHUB;7
11159;2005;GITHUB;1
11159;2006;GITHUB;1
11159;2007;GITHUB;6
11159;2008;GITHUB;9
11159;2009;GITHUB;3
11159;2010;GITHUB;1
11159;2011;GITHUB;2
11159;2012;GITHUB;0
11159;2013;GITHUB;1
11159;2014;GITHUB;2
11159;2015;GITHUB;7
11159;2017;GITHUB;1
11230;2005;GITHUB;9
11230;2006;GITHUB;3
11230;2007;GITHUB;9
11230;2008;GITHUB;0
11230;2009;GITHUB;9
11230;2010;GITHUB;9
11230;2011;GITHUB;4
11230;2012;GITHUB;4
11230;2013;GITHUB;4
11230;2014;GITHUB;7
11230;2015;GITHUB;9
11230;2016;GITHUB;9
11230;2017;GITHUB;4
11230;2018;GITHUB;5
11240;2008;GITHUB;2
11240;2009;GITHUB;1
11240;2010;GITHUB;0
11303;2016;GITHUB;3
11303;2017;GITHUB;5
11303;2018;GITHUB;1
20006;2002;GITHUB;6
20006;2003;GITHUB;8
20006;2004;GITHUB;5
20006;2005;GITHUB;2
20006;2006;GITHUB;1
20006;2007;GITHUB;0
20006;2008;GITHUB;6
20085;2008;GITHUB;8
20137;2005;GITHUB;5
20163;2017;GITHUB;9
20163;2018;GITHUB;8
20204;2006;GITHUB;2
20204;2007;GITHUB;1
20204;2008;GITHUB;4
20204;2009;GITHUB;8
20204;2010;GITHUB;9
20204;2011;GITHUB;7
20204;2012;GITHUB;0
20204;2013;GITHUB;7
20204;2014;GITHUB;9
20204;2015;GITHUB;8
20204;2016;GITHUB;8
20204;2017;GITHUB;9
20204;2018;GITHUB;2
20207;2006;GITHUB;8
20207;2007;GITHUB;6
20207;2008;GITHUB;1
20207;2009;GITHUB;1
20207;2010;GITHUB;6
20207;2011;GITHUB;2
20207;2012;GITHUB;7
20207;2013;GITHUB;3
20207;2014;GITHUB;5
20207;2015;GITHUB;1
20207;2016;GITHUB;2
20207;2017;GITHUB;2
20207;2018;GITHUB;2
20526;2004;GITHUB;8
20799;2012;GITHUB;9
20857;2002;GITHUB;2
20857;2003;GITHUB;2
20857;2004;GITHUB;6
20857;2005;GITHUB;8
20857;2006;GITHUB;3
20857;2007;GITHUB;4
20857;2009;GITHUB;3
20857;2010;GITHUB;0
20857;2011;GITHUB;0
20857;2012;GITHUB;1
20857;2013;GITHUB;5
20857;2014;GITHUB;7
20857;2015;GITHUB;4
20857;2016;GITHUB;1
20857;2017;GITHUB;5
20857;2018;GITHUB;2
20881;2008;GITHUB;9
20881;2009;GITHUB;1
20881;2010;GITHUB;7
21088;2005;GITHUB;5
21088;2006;GITHUB;6
21172;2010;GITHUB;9
21172;2011;GITHUB;8
21192;2001;GITHUB;9
21192;2002;GITHUB;7
21192;2003;GITHUB;1
21192;2004;GITHUB;3
21192;2005;GITHUB;8
21192;2006;GITHUB;7
21192;2013;GITHUB;7
21192;2014;GITHUB;1
21192;2015;GITHUB;3
21192;2016;GITHUB;3
21192;2017;GITHUB;2
21192;2018;GITHUB;4
21195;2009;GITHUB;9
21279;2017;GITHUB;7
21279;2018;GITHUB;3
21312;2009;GITHUB;5
21384;2001;GITHUB;6
21384;2002;GITHUB;3
21384;2003;GITHUB;4
21384;2004;GITHUB;2
21384;2005;GITHUB;9
21384;2006;GITHUB;6
21384;2007;GITHUB;3
21384;2008;GITHUB;1
21384;2009;GITHUB;1
21384;2010;GITHUB;2
21384;2011;GITHUB;8
21384;2012;GITHUB;9
21384;2013;GITHUB;3
21384;2014;GITHUB;6
21384;2015;GITHUB;5
21384;2016;GITHUB;8
21384;2017;GITHUB;0
21384;2018;GITHUB;1
21506;2017;GITHUB;4
21506;2018;GITHUB;3
21542;2018;GITHUB;6
21756;2002;GITHUB;7
21784;2016;GITHUB;7
21784;2017;GITHUB;2
21784;2018;GITHUB;2
21791;2001;GITHUB;4
21791;2002;GITHUB;6
21791;2003;GITHUB;2
21791;2004;GITHUB;0
21791;2005;GITHUB;7
21791;2006;GITHUB;3
21791;2007;GITHUB;5
21791;2008;GITHUB;9
21791;2009;GITHUB;7
21791;2010;GITHUB;5
21791;2011;GITHUB;7
21791;2012;GITHUB;7
21791;2013;GITHUB;6
21791;2014;GITHUB;1
21791;2015;GITHUB;2
21791;2016;GITHUB;7
21791;2017;GITHUB;4
21799;2001;GITHUB;3
21799;2002;GITHUB;4
21799;2003;GITHUB;8
21799;2004;GITHUB;3
21799;2005;GITHUB;5
21799;2006;GITHUB;9
21799;2007;GITHUB;9
21799;2008;GITHUB;1
21799;2009;GITHUB;9
21799;2010;GITHUB;3
21799;2011;GITHUB;9
30034;2005;GITHUB;4
30057;2007;GITHUB;9
30057;2008;GITHUB;2
30057;2009;GITHUB;2
30057;2010;GITHUB;0
30057;2011;GITHUB;0
30057;2015;GITHUB;9
30143;2006;GITHUB;5
30143;2007;GITHUB;6
30143;2008;GITHUB;3
30143;2009;GITHUB;0
