carre;annee;espece;abond
10100;2007;STRTUR;1
10120;2008;STRTUR;6
10120;2009;STRTUR;4
10120;2010;STRTUR;3
10295;2002;STRTUR;0
10295;2003;STRTUR;0
10295;2004;STRTUR;0
10295;2005;STRTUR;1
10295;2008;STRTUR;1
10295;2010;STRTUR;0
10295;2012;STRTUR;0
10295;2017;STRTUR;0
10295;2018;STRTUR;0
10487;2010;STRTUR;0
10492;2017;STRTUR;0
10492;2018;STRTUR;0
10506;2008;STRTUR;0
10506;2009;STRTUR;0
10506;2010;STRTUR;0
10511;2008;STRTUR;0
10511;2009;STRTUR;5
10511;2010;STRTUR;1
10511;2011;STRTUR;1
10511;2012;STRTUR;1
10511;2013;STRTUR;2
10511;2014;STRTUR;3
10511;2015;STRTUR;0
10511;2016;STRTUR;1
10511;2017;STRTUR;0
10511;2018;STRTUR;0
10521;2008;STRTUR;0
10521;2009;STRTUR;0
10521;2010;STRTUR;0
10521;2011;STRTUR;0
10521;2012;STRTUR;0
10521;2013;STRTUR;0
10521;2014;STRTUR;0
10521;2015;STRTUR;0
10521;2016;STRTUR;0
10521;2017;STRTUR;0
10521;2018;STRTUR;0
10604;2002;STRTUR;2
10604;2003;STRTUR;3
10604;2004;STRTUR;2
10604;2005;STRTUR;3
10607;2008;STRTUR;3
10607;2009;STRTUR;1
10607;2010;STRTUR;1
10623;2017;STRTUR;0
10623;2018;STRTUR;0
10696;2002;STRTUR;9
10696;2003;STRTUR;1
10696;2004;STRTUR;5
10696;2005;STRTUR;7
10873;2017;STRTUR;0
10873;2018;STRTUR;0
10884;2017;STRTUR;0
10884;2018;STRTUR;0
10914;2004;STRTUR;0
10914;2005;STRTUR;0
10914;2006;STRTUR;0
10914;2007;STRTUR;1
10914;2008;STRTUR;0
10914;2009;STRTUR;1
10914;2010;STRTUR;0
10914;2011;STRTUR;0
10914;2012;STRTUR;0
10914;2013;STRTUR;0
10914;2014;STRTUR;0
10914;2015;STRTUR;1
10914;2016;STRTUR;0
10914;2017;STRTUR;2
10914;2018;STRTUR;1
10916;2017;STRTUR;0
10916;2018;STRTUR;0
10935;2002;STRTUR;2
10935;2003;STRTUR;0
10935;2004;STRTUR;1
10935;2005;STRTUR;3
10935;2006;STRTUR;0
10935;2007;STRTUR;1
10935;2008;STRTUR;1
10935;2009;STRTUR;0
10935;2010;STRTUR;0
10935;2011;STRTUR;0
10935;2012;STRTUR;0
10935;2013;STRTUR;0
10935;2014;STRTUR;0
10935;2015;STRTUR;0
10935;2016;STRTUR;0
10935;2017;STRTUR;0
10935;2018;STRTUR;1
10947;2017;STRTUR;0
10947;2018;STRTUR;0
10952;2007;STRTUR;1
10952;2008;STRTUR;0
10952;2009;STRTUR;0
10952;2010;STRTUR;0
10952;2011;STRTUR;0
10952;2012;STRTUR;0
10952;2013;STRTUR;1
10952;2014;STRTUR;0
10952;2015;STRTUR;0
10952;2016;STRTUR;0
10952;2017;STRTUR;1
10952;2018;STRTUR;0
10957;2009;STRTUR;0
10957;2010;STRTUR;0
10957;2011;STRTUR;0
10957;2012;STRTUR;0
10999;2003;STRTUR;0
10999;2011;STRTUR;4
11020;2002;STRTUR;0
11020;2003;STRTUR;3
11020;2005;STRTUR;1
11020;2006;STRTUR;4
11020;2007;STRTUR;2
11020;2008;STRTUR;0
11020;2009;STRTUR;1
11020;2010;STRTUR;0
11020;2011;STRTUR;1
11020;2012;STRTUR;0
11020;2013;STRTUR;0
11020;2014;STRTUR;2
11020;2015;STRTUR;2
11020;2016;STRTUR;2
11020;2017;STRTUR;1
11020;2018;STRTUR;0
11036;2004;STRTUR;0
11036;2005;STRTUR;0
11036;2006;STRTUR;0
11036;2007;STRTUR;0
11036;2008;STRTUR;0
11036;2009;STRTUR;1
11036;2010;STRTUR;2
11036;2011;STRTUR;0
11036;2012;STRTUR;0
11036;2013;STRTUR;2
11036;2014;STRTUR;0
11036;2015;STRTUR;0
11036;2017;STRTUR;0
11036;2018;STRTUR;1
11103;2003;STRTUR;0
11103;2004;STRTUR;0
11103;2005;STRTUR;1
11103;2006;STRTUR;1
11103;2007;STRTUR;0
11103;2008;STRTUR;0
11103;2009;STRTUR;0
11103;2010;STRTUR;1
11103;2011;STRTUR;1
11103;2012;STRTUR;1
11103;2013;STRTUR;2
11103;2014;STRTUR;0
11103;2015;STRTUR;0
11103;2016;STRTUR;0
11103;2017;STRTUR;0
11103;2018;STRTUR;0
11134;2010;STRTUR;4
11134;2011;STRTUR;0
11134;2012;STRTUR;1
11134;2013;STRTUR;1
11134;2014;STRTUR;0
11158;2005;STRTUR;3
11158;2006;STRTUR;0
11158;2007;STRTUR;2
11158;2008;STRTUR;6
11158;2009;STRTUR;0
11158;2010;STRTUR;6
11158;2011;STRTUR;2
11158;2012;STRTUR;4
11158;2013;STRTUR;4
11158;2014;STRTUR;1
11158;2015;STRTUR;3
11158;2016;STRTUR;2
11158;2017;STRTUR;3
11158;2018;STRTUR;4
11159;2002;STRTUR;1
11159;2003;STRTUR;1
11159;2004;STRTUR;2
11159;2005;STRTUR;1
11159;2006;STRTUR;1
11159;2007;STRTUR;4
11159;2008;STRTUR;3
11159;2009;STRTUR;1
11159;2010;STRTUR;5
11159;2011;STRTUR;4
11159;2012;STRTUR;2
11159;2013;STRTUR;1
11159;2014;STRTUR;1
11159;2015;STRTUR;1
11159;2017;STRTUR;0
11230;2005;STRTUR;1
11230;2006;STRTUR;0
11230;2007;STRTUR;0
11230;2008;STRTUR;0
11230;2009;STRTUR;0
11230;2010;STRTUR;0
11230;2011;STRTUR;1
11230;2012;STRTUR;0
11230;2013;STRTUR;0
11230;2014;STRTUR;0
11230;2015;STRTUR;0
11230;2016;STRTUR;0
11230;2017;STRTUR;0
11230;2018;STRTUR;0
11240;2008;STRTUR;0
11240;2009;STRTUR;0
11240;2010;STRTUR;0
11303;2016;STRTUR;0
11303;2017;STRTUR;0
11303;2018;STRTUR;0
20006;2002;STRTUR;0
20006;2003;STRTUR;0
20006;2004;STRTUR;0
20006;2005;STRTUR;0
20006;2006;STRTUR;2
20006;2007;STRTUR;0
20006;2008;STRTUR;0
20085;2008;STRTUR;1
20137;2005;STRTUR;0
20163;2017;STRTUR;0
20163;2018;STRTUR;0
20204;2006;STRTUR;3
20204;2007;STRTUR;4
20204;2008;STRTUR;4
20204;2009;STRTUR;3
20204;2010;STRTUR;3
20204;2011;STRTUR;0
20204;2012;STRTUR;2
20204;2013;STRTUR;0
20204;2014;STRTUR;0
20204;2015;STRTUR;1
20204;2016;STRTUR;2
20204;2017;STRTUR;2
20204;2018;STRTUR;0
20207;2006;STRTUR;0
20207;2007;STRTUR;1
20207;2008;STRTUR;1
20207;2009;STRTUR;1
20207;2010;STRTUR;0
20207;2011;STRTUR;0
20207;2012;STRTUR;0
20207;2013;STRTUR;3
20207;2014;STRTUR;3
20207;2015;STRTUR;2
20207;2016;STRTUR;1
20207;2017;STRTUR;0
20207;2018;STRTUR;2
20526;2004;STRTUR;3
20799;2012;STRTUR;2
20857;2002;STRTUR;0
20857;2003;STRTUR;7
20857;2004;STRTUR;0
20857;2005;STRTUR;1
20857;2006;STRTUR;1
20857;2007;STRTUR;0
20857;2009;STRTUR;1
20857;2010;STRTUR;3
20857;2011;STRTUR;0
20857;2012;STRTUR;1
20857;2013;STRTUR;2
20857;2014;STRTUR;0
20857;2015;STRTUR;1
20857;2016;STRTUR;2
20857;2017;STRTUR;1
20857;2018;STRTUR;0
20881;2008;STRTUR;8
20881;2009;STRTUR;1
20881;2010;STRTUR;0
21088;2005;STRTUR;5
21088;2006;STRTUR;2
21172;2010;STRTUR;3
21172;2011;STRTUR;0
21192;2001;STRTUR;1
21192;2002;STRTUR;4
21192;2003;STRTUR;3
21192;2004;STRTUR;3
21192;2005;STRTUR;3
21192;2006;STRTUR;2
21192;2013;STRTUR;1
21192;2014;STRTUR;2
21192;2015;STRTUR;0
21192;2016;STRTUR;0
21192;2017;STRTUR;3
21192;2018;STRTUR;1
21195;2009;STRTUR;0
21279;2017;STRTUR;6
21279;2018;STRTUR;1
21312;2009;STRTUR;1
21384;2001;STRTUR;3
21384;2002;STRTUR;3
21384;2003;STRTUR;6
21384;2004;STRTUR;4
21384;2005;STRTUR;8
21384;2006;STRTUR;6
21384;2007;STRTUR;5
21384;2008;STRTUR;3
21384;2009;STRTUR;1
21384;2010;STRTUR;2
21384;2011;STRTUR;0
21384;2012;STRTUR;0
21384;2013;STRTUR;1
21384;2014;STRTUR;1
21384;2015;STRTUR;2
21384;2016;STRTUR;0
21384;2017;STRTUR;0
21384;2018;STRTUR;0
21506;2017;STRTUR;1
21506;2018;STRTUR;4
21542;2018;STRTUR;1
21756;2002;STRTUR;2
21784;2016;STRTUR;1
21784;2017;STRTUR;0
21784;2018;STRTUR;0
21791;2001;STRTUR;4
21791;2002;STRTUR;5
21791;2003;STRTUR;7
21791;2004;STRTUR;13
21791;2005;STRTUR;7
21791;2006;STRTUR;6
21791;2007;STRTUR;8
21791;2008;STRTUR;4
21791;2009;STRTUR;7
21791;2010;STRTUR;6
21791;2011;STRTUR;3
21791;2012;STRTUR;4
21791;2013;STRTUR;3
21791;2014;STRTUR;8
21791;2015;STRTUR;4
21791;2016;STRTUR;6
21791;2017;STRTUR;2
21799;2001;STRTUR;4
21799;2002;STRTUR;4
21799;2003;STRTUR;1
21799;2004;STRTUR;1
21799;2005;STRTUR;2
21799;2006;STRTUR;5
21799;2007;STRTUR;3
21799;2008;STRTUR;6
21799;2009;STRTUR;3
21799;2010;STRTUR;4
21799;2011;STRTUR;0
30034;2005;STRTUR;4
30057;2007;STRTUR;8
30057;2008;STRTUR;6
30057;2009;STRTUR;9
30057;2010;STRTUR;0
30057;2011;STRTUR;9
30057;2015;STRTUR;0
30143;2006;STRTUR;1
30143;2007;STRTUR;0
30143;2008;STRTUR;0
30143;2009;STRTUR;0
30143;2010;STRTUR;2
30143;2011;STRTUR;2
30143;2013;STRTUR;2
30143;2014;STRTUR;1
30143;2015;STRTUR;2
30145;2006;STRTUR;0
30145;2007;STRTUR;3
30145;2008;STRTUR;1
30145;2010;STRTUR;3
30145;2011;STRTUR;1
30148;2016;STRTUR;2
30148;2017;STRTUR;0
30190;2016;STRTUR;1
30190;2017;STRTUR;0
30208;2002;STRTUR;2
30208;2003;STRTUR;5
30208;2004;STRTUR;3
30208;2005;STRTUR;2
30208;2006;STRTUR;3
30208;2007;STRTUR;1
30208;2008;STRTUR;2
30208;2009;STRTUR;3
30240;2005;STRTUR;0
30249;2004;STRTUR;1
30249;2005;STRTUR;2
30249;2006;STRTUR;3
30249;2007;STRTUR;2
30249;2008;STRTUR;1
30249;2009;STRTUR;0
30292;2002;STRTUR;6
30292;2003;STRTUR;4
30292;2004;STRTUR;2
30292;2005;STRTUR;2
30292;2006;STRTUR;0
30292;2007;STRTUR;3
30292;2008;STRTUR;3
30292;2009;STRTUR;9
30352;2002;STRTUR;1
