"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_210612_000";2.1;5.0;31.0;"noise";0.682;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212516_000";"0.0";4.2;20.0;"noise";0.216;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212628_000";"0.0";2.6;20.0;"Plaint";0.218;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212648_000";0.4;4.8;8.0;"piaf";0.698;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212705_000";0.1;4.6;29.0;"noise";0.606;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212728_000";0.2;0.3;8.0;"piaf";0.366;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212755_000";0.1;4.8;20.0;"Plaint";0.21;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212936_000";"0.0";5.0;20.0;"noise";0.212;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212950_000";0.5;4.8;20.0;"noise";0.522;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_212957_000";0.3;4.9;19.0;"noise";0.62;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213011_000";0.3;4.7;20.0;"noise";0.324;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213028_000";"0.0";2.2;20.0;"noise";0.276;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213040_000";0.1;4.9;20.0;"noise";0.502;"Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213049_000";"0.0";4.4;20.0;"noise";0.532;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213212_000";0.1;3.1;20.0;"noise";0.472;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213239_000";"0.0";4.5;20.0;"noise";0.222;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213246_000";1.0;2.3;20.0;"noise";0.518;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213309_000";0.8;1.7;18.0;"noise";0.478;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213315_000";2.7;5.0;20.0;"noise";0.3;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213418_000";"0.0";3.0;20.0;"noise";0.304;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213423_000";0.5;4.9;21.0;"noise";0.258;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213517_000";"0.0";3.0;20.0;"noise";0.222;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213534_000";"0.0";4.8;20.0;"noise";0.436;"Plaint, Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213638_000";0.9;5.0;21.0;"noise";0.268;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213645_000";0.1;3.5;20.0;"piaf";0.204;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213657_000";2.6;4.6;19.0;"noise";0.378;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213715_000";0.1;4.3;20.0;"noise";0.33;"Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213823_000";1.1;4.2;20.0;"noise";0.312;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213829_000";"0.0";0.4;20.0;"noise";0.232;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213933_000";"0.0";2.9;51.0;"Pippip";0.49;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213953_000";1.9;3.6;49.0;"Pippip";0.456;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_213953_000";2.1;3.7;21.0;"noise";0.244;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214000_000";0.4;4.2;46.0;"Pippip";0.566;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214006_000";0.8;3.0;50.0;"Pippip";0.598;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214033_000";"0.0";3.4;49.0;"Pippip";0.686;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214033_000";4.6;4.7;21.0;"noise";0.246;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214056_000";1.0;5.0;50.0;"Pippip";0.59;"Minsch";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214056_000";0.3;5.0;20.0;"noise";0.284;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214103_000";0.1;2.4;45.0;"Pippip";0.462;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214103_000";"0.0";3.4;20.0;"noise";0.28;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214109_000";0.2;5.0;50.0;"Pippip";0.658;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214109_000";"0.0";2.2;20.0;"noise";0.426;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214131_000";0.3;4.5;48.0;"Pippip";0.626;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214131_000";0.3;0.4;22.0;"noise";0.264;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214138_000";1.9;5.0;50.0;"Pippip";0.61;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214154_000";0.3;4.8;20.0;"noise";0.312;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214201_000";"0.0";5.0;51.0;"Pippip";0.494;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214201_000";0.2;4.5;20.0;"noise";0.266;"Tetvir, Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214208_000";0.6;3.9;50.0;"Pippip";0.67;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214208_000";1.4;1.5;17.0;"noise";0.248;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214230_000";0.1;4.3;20.0;"noise";0.258;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214258_000";1.3;4.8;53.0;"Pippip";0.534;"Minsch, Pippyg";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214258_000";0.3;4.8;20.0;"noise";0.294;"Plaint, Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214305_000";"0.0";4.9;48.0;"Pippip";0.618;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214305_000";"0.0";4.9;33.0;"noise";0.522;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214312_000";"0.0";3.8;49.0;"Pippip";0.556;"Minsch";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214312_000";3.5;3.6;16.0;"noise";0.262;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214325_000";"0.0";4.6;52.0;"Pippip";0.54;"Minsch, Pippyg";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214325_000";1.0;5.0;21.0;"noise";0.368;"Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214332_000";"0.0";5.0;50.0;"Pippip";0.6;"Pipkuh, Pippyg, Minsch";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214339_000";0.5;5.0;46.0;"Pippip";0.584;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214346_000";"0.0";1.9;50.0;"Pippip";0.652;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214353_000";"0.0";4.5;52.0;"Pippip";0.614;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214400_000";"0.0";4.1;54.0;"Pippip";0.624;"Myomys, Minsch";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214400_000";0.3;4.9;20.0;"noise";0.212;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214407_000";0.3;3.3;45.0;"Pippip";0.468;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214407_000";0.1;3.7;20.0;"noise";0.278;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214414_000";"0.0";4.7;20.0;"noise";0.28;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214434_000";1.1;4.9;49.0;"Pippip";0.674;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214446_000";"0.0";3.1;51.0;"Pippip";0.646;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214503_000";0.3;4.8;50.0;"Pippip";0.69;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214515_000";0.7;5.0;48.0;"Pippip";0.644;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214528_000";0.6;4.9;49.0;"Pippip";0.68;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214528_000";0.4;3.7;20.0;"noise";0.458;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214548_000";"0.0";3.8;19.0;"Plaint";0.252;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214604_000";"0.0";4.1;20.0;"noise";0.238;"Tetvir, Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214621_000";"0.0";2.8;25.0;"Nyclei";0.31;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214621_000";0.1;0.2;20.0;"noise";0.24;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214638_000";"0.0";5.0;51.0;"Pippip";0.66;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214638_000";"0.0";5.0;20.0;"noise";0.3;"Tetvir, Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214645_000";"0.0";3.9;53.0;"Pippip";0.598;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214652_000";"0.0";4.9;20.0;"noise";0.246;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214659_000";"0.0";5.0;46.0;"Pippip";0.632;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214659_000";"0.0";4.3;20.0;"Plasab";0.236;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214706_000";"0.0";5.0;48.0;"Pippip";0.714;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214718_000";"0.0";4.7;49.0;"Pippip";0.694;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214725_000";0.2;4.4;48.0;"Pippip";0.486;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214725_000";0.2;4.9;21.0;"noise";0.424;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214732_000";0.5;2.9;45.0;"Pippip";0.406;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214752_000";2.2;5.0;51.0;"Pippip";0.586;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214759_000";"0.0";4.5;47.0;"Pippip";0.616;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214812_000";"0.0";3.5;47.0;"Pippip";0.616;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214812_000";0.2;0.3;43.0;"Testes";0.224;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214824_000";"0.0";3.0;47.0;"Pippip";0.662;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214908_000";0.5;3.1;47.0;"Pippip";0.348;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214908_000";"0.0";3.4;20.0;"Phanan";0.288;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214930_000";"0.0";3.9;41.0;"Pipkuh";0.648;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214930_000";1.7;1.8;40.0;"Confus";0.218;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214930_000";"0.0";0.1;20.0;"noise";0.2;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_214942_000";2.5;5.0;48.0;"Pippip";0.65;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215102_000";"0.0";3.5;47.0;"Pippip";0.666;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215102_000";1.9;3.0;33.0;"Hypsav";0.214;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215131_000";0.3;3.2;47.0;"Pippip";0.6;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215131_000";4.6;4.7;20.0;"noise";0.304;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215143_000";"0.0";2.1;47.0;"Pippip";0.662;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215143_000";0.3;1.9;20.0;"noise";0.358;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215149_000";"0.0";5.0;47.0;"Pippip";0.654;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215156_000";"0.0";1.5;47.0;"Pippip";0.596;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215156_000";3.8;3.9;19.0;"noise";0.36;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215332_000";0.2;3.3;39.0;"Pipkuh";0.498;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215332_000";0.7;1.1;20.0;"noise";0.362;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215348_000";0.1;3.3;26.0;"Pippip";0.302;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215348_000";0.5;3.2;20.0;"noise";0.26;"Nyclei";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215412_000";"0.0";4.9;19.0;"Plasab";0.218;"Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215419_000";"0.0";5.0;30.0;"piaf";0.218;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215426_000";"0.0";4.8;31.0;"noise";0.532;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215438_000";"0.0";3.4;20.0;"noise";0.374;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215445_000";"0.0";4.9;20.0;"noise";0.242;"Plaint, Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215521_000";"0.0";5.0;38.0;"Pipkuh";0.488;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215521_000";0.5;5.0;23.0;"noise";0.308;"Nyclei, Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215528_000";"0.0";5.0;21.0;"noise";0.488;"Plaint";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215528_000";0.4;2.2;25.0;"Eptser";0.284;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215535_000";"0.0";5.0;47.0;"Pippip";0.644;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215535_000";0.1;0.3;19.0;"Phanan";0.23;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215542_000";"0.0";5.0;23.0;"noise";0.496;"Eptser";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215542_000";3.1;4.9;26.0;"Eptser";0.326;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215542_000";4.7;4.8;44.0;"Pippip";0.276;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215549_000";"0.0";4.7;24.0;"Nyclei";0.234;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215607_000";"0.0";4.9;47.0;"Pippip";0.598;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215607_000";2.3;4.2;11.0;"noise";0.498;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215636_000";"0.0";2.9;20.0;"noise";0.562;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215733_000";"0.0";5.0;26.0;"Eptser";0.42;"";"";"";"Eptser";"SUR"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215745_000";"0.0";2.9;51.0;"noise";0.302;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215755_000";1.0;4.6;34.0;"noise";0.564;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215843_000";"0.0";4.8;20.0;"noise";0.3;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215931_000";0.3;2.9;18.0;"noise";0.422;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215946_000";0.4;5.0;43.0;"Pipkuh";0.606;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_215946_000";0.7;0.8;18.0;"noise";0.234;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220008_000";"0.0";4.5;26.0;"Eptser";0.41;"";"";"";"Eptser";"SUR"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220025_000";0.6;5.0;34.0;"Hypsav";0.28;"Pipkuh, Barbar, Eptser";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220032_000";"0.0";4.1;34.0;"noise";0.314;"Leppun";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220032_000";1.9;3.7;37.0;"Leppun";0.264;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220039_000";"0.0";2.8;34.0;"Barbar";0.242;"Leppun";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220039_000";0.9;1.0;36.0;"Confus";0.238;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220114_000";2.9;5.0;33.0;"Hypsav";0.314;"Eptser";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220121_000";"0.0";3.5;33.0;"noise";0.236;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220127_000";"0.0";4.5;34.0;"Hypsav";0.3;"Eptser, Barbar";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220221_000";"0.0";4.9;32.0;"noise";0.332;"";"";"";"Barsan";"SUR"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220221_000";0.9;1.5;33.0;"Eptser";0.29;"";"";"";"Hypsav";"POSSIBLE"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220228_000";"0.0";5.0;21.0;"noise";0.32;"Pippip, Plaint, Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220251_000";"0.0";3.2;32.0;"Hypsav";0.256;"Leppun, Eptser";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220313_000";"0.0";4.9;32.0;"noise";0.306;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220320_000";0.7;5.0;33.0;"Testes";0.27;"Confus";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_220320_000";0.1;5.0;34.0;"noise";0.238;"Tetvir";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_221628_000";"0.0";0.6;35.0;"noise";0.442;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222013_000";"0.0";0.1;15.0;"noise";0.33;"";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222234_000";1.5;5.0;36.0;"Pipkuh";0.318;"Barbar, Hypsav";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222243_000";"0.0";4.7;36.0;"Pipkuh";0.398;"Hypsav";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222250_000";"0.0";4.9;37.0;"Pipkuh";0.494;"Eptser, Barbar";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222307_000";"0.0";5.0;37.0;"Pipkuh";0.504;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222400_000";0.5;4.3;34.0;"Hypsav";0.384;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222407_000";1.5;4.9;34.0;"Hypsav";0.348;"Pipkuh";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222414_000";"0.0";3.9;36.0;"Pipkuh";0.454;"noise";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222446_000";1.3;4.8;34.0;"Hypsav";0.378;"Pipkuh";"";"";"Hypsav";"SUR"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222446_000";0.6;4.7;31.0;"Eptser";0.2;"";"";"";"Eptser";"PROBABLE"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222511_000";"0.0";2.7;25.0;"Nyclei";0.304;"Eptser";"";"";"";""
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222552_000";0.8;4.9;30.0;"noise";0.228;"Eptser";"";"";"Eptser";"SUR"
"Car660437-2016-Pass2-Z2-SMM-U1-S4U00593_0_20160711_222552_000";1.0;4.1;33.0;"Eptser";0.212;"";"";"";"Eptser";"SUR"
