"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00000_000";"0.0";5.0;20.0;"noise";0.596;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00014_994";"0.0";4.9;20.0;"noise";0.628;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00019_992";0.1;5.0;20.0;"noise";0.676;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00029_989";0.3;4.9;20.0;"noise";0.604;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00034_987";"0.0";5.0;20.0;"noise";0.752;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00049_981";0.1;5.0;20.0;"noise";0.702;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00059_977";"0.0";5.0;20.0;"noise";0.682;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00064_975";"0.0";4.8;20.0;"noise";0.678;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00079_970";0.2;5.0;20.0;"noise";0.71;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00089_966";0.1;5.0;20.0;"noise";0.664;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00094_964";"0.0";4.8;20.0;"noise";0.672;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00104_960";"0.0";5.0;20.0;"noise";0.606;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00109_958";"0.0";4.7;20.0;"noise";0.728;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00119_954";"0.0";5.0;20.0;"noise";0.64;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00124_952";0.1;4.9;20.0;"noise";0.724;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00134_949";0.5;4.7;20.0;"noise";0.68;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00139_947";0.1;4.6;20.0;"noise";0.704;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00149_943";"0.0";5.0;20.0;"noise";0.684;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00154_941";4.9;5.0;11.0;"noise";0.756;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00164_937";"0.0";4.9;20.0;"noise";0.668;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00169_935";4.9;5.0;11.0;"noise";0.74;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00179_931";"0.0";5.0;20.0;"noise";0.642;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00194_926";"0.0";5.0;20.0;"noise";0.65;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00209_920";"0.0";5.0;20.0;"noise";0.652;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00219_916";2.0;4.7;20.0;"noise";0.444;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00224_914";0.1;4.8;20.0;"noise";0.616;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00229_912";3.9;4.0;14.0;"noise";0.72;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00234_910";"0.0";5.0;20.0;"noise";0.68;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00239_909";"0.0";5.0;20.0;"noise";0.666;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00249_905";0.1;4.8;20.0;"noise";0.652;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00254_903";"0.0";4.9;20.0;"noise";0.612;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00264_899";"0.0";5.0;20.0;"noise";0.666;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00269_897";0.5;5.0;20.0;"noise";0.734;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00279_893";"0.0";5.0;20.0;"noise";0.628;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00284_891";0.1;4.9;20.0;"noise";0.628;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00294_888";"0.0";4.1;20.0;"noise";0.664;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00299_886";"0.0";5.0;20.0;"noise";0.64;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00309_882";0.1;4.5;20.0;"noise";0.598;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00314_880";"0.0";5.0;20.0;"noise";0.582;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00324_876";0.2;4.9;20.0;"noise";0.612;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00329_874";0.1;5.0;20.0;"noise";0.684;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00344_869";0.4;5.0;20.0;"noise";0.468;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_0_00359_863";0.1;0.6;20.0;"noise";0.64;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00000_000";"0.0";0.5;123.0;"noise";0.57;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00004_998";"0.0";0.5;88.0;"noise";0.614;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00009_996";"0.0";0.5;93.0;"noise";0.676;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00014_994";"0.0";0.5;93.0;"noise";0.594;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00019_992";"0.0";0.5;119.0;"noise";0.668;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00024_990";"0.0";0.5;92.0;"noise";0.604;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00029_989";"0.0";0.5;94.0;"noise";0.542;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00034_987";"0.0";0.5;130.0;"noise";0.614;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00039_985";"0.0";0.5;127.0;"noise";0.632;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00044_983";"0.0";0.5;87.0;"noise";0.682;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00044_983";"0.0";0.3;51.0;"Pippip";0.602;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00049_981";"0.0";0.5;97.0;"noise";0.658;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00049_981";0.2;0.5;49.0;"Pippip";0.58;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00054_979";"0.0";0.5;125.0;"noise";0.646;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00059_977";"0.0";0.5;128.0;"noise";0.624;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00059_977";0.1;0.3;57.0;"Pippip";0.446;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00064_975";"0.0";0.5;76.0;"noise";0.524;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00064_975";0.2;0.3;50.0;"Pippip";0.458;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00069_973";"0.0";0.5;132.0;"noise";0.592;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00074_971";"0.0";0.5;125.0;"noise";0.702;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00074_971";0.3;0.4;59.0;"Pippip";0.236;"";"";"";"";""
