"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir437-2014-Pass1-Tron1-Chiro_0_00000_000";0.2;0.5;204.0;"noise";0.62;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00005_000";"0.0";0.2;204.0;"noise";0.49;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00010_000";0.2;0.5;188.0;"noise";0.57;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00020_000";"0.0";0.5;157.0;"noise";0.524;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00025_000";0.1;0.5;205.0;"noise";0.542;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00030_000";0.2;0.5;27.0;"noise";0.798;"Phogri, Tetvir";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00035_000";"0.0";"0.0";125.0;"noise";0.238;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00040_000";"0.0";0.5;22.0;"noise";0.772;"Tetvir";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00045_000";"0.0";0.3;19.0;"noise";0.532;"Tetvir, Phogri";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00050_000";"0.0";0.5;117.0;"noise";0.388;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00055_000";"0.0";0.4;21.0;"noise";0.6;"Tetvir, Phogri";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00065_000";0.4;0.5;154.0;"noise";0.528;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00070_000";0.4;0.5;29.0;"noise";0.52;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00075_000";"0.0";0.5;81.0;"noise";0.77;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00075_000";0.2;0.5;54.0;"Pippip";0.384;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00080_000";"0.0";0.5;72.0;"noise";0.812;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00080_000";"0.0";0.4;53.0;"Pippip";0.484;"";"";"";"";""
"Cir437-2014-Pass1-Tron1-Chiro_0_00085_000";"0.0";0.5;204.0;"noise";0.794;"";"";"";"";""
