"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_201337_562";"0.0";0.3;13.0;"noise";0.476;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_201409_055";"0.0";0.1;14.0;"noise";0.348;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202133_563";"0.0";2.9;20.0;"noise";0.536;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202138_952";"0.0";2.2;16.0;"noise";0.504;"Phogri, Sepsep";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202230_026";"0.0";0.9;18.0;"noise";0.338;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202245_593";"0.0";4.7;18.0;"noise";0.7;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202250_593";0.1;4.7;16.0;"noise";0.578;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202255_593";"0.0";4.5;14.0;"noise";0.74;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202300_593";0.6;1.8;18.0;"noise";0.454;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202305_619";"0.0";2.9;16.0;"noise";0.608;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202312_093";"0.0";3.5;16.0;"noise";0.448;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202317_091";"0.0";"0.0";16.0;"noise";0.472;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202324_137";"0.0";2.4;15.0;"Phogri";0.382;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202332_001";"0.0";4.9;19.0;"Phogri";0.554;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202337_001";0.9;1.4;16.0;"Phogri";0.474;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202343_993";"0.0";2.0;18.0;"noise";0.584;"Epheph";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202351_823";"0.0";0.6;16.0;"Phogri";0.442;"Tetvir, noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202405_000";0.5;2.2;18.0;"noise";0.58;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202419_001";"0.0";1.1;15.0;"noise";0.412;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202428_541";"0.0";0.8;20.0;"noise";0.59;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202434_269";"0.0";1.9;18.0;"noise";0.482;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202440_070";"0.0";0.6;15.0;"Phogri";0.384;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202443_973";"0.0";2.6;16.0;"noise";0.38;"Tetvir, Sepsep, Phogri, Phanan";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202451_899";"0.0";4.5;16.0;"noise";0.544;"Phogri, Phanan";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202502_964";"0.0";1.7;18.0;"Phogri";0.336;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202518_973";"0.0";4.6;18.0;"noise";0.564;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202523_973";0.5;1.8;19.0;"Phogri";0.37;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202532_326";"0.0";2.3;18.0;"Phogri";0.444;"noise, Phanan, Tetvir";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202601_196";"0.0";3.7;15.0;"noise";0.388;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202611_621";"0.0";"0.0";18.0;"noise";0.504;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202619_265";"0.0";2.3;16.0;"Phogri";0.372;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202636_211";"0.0";"0.0";17.0;"noise";0.412;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202640_053";"0.0";0.1;19.0;"noise";0.35;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202655_801";"0.0";2.3;16.0;"noise";0.492;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202722_368";"0.0";1.7;17.0;"noise";0.578;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202739_907";"0.0";2.5;19.0;"noise";0.434;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_204728_489";"0.0";4.8;24.0;"Nyclei";0.618;"Eptser, Nycnoc";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_204733_489";"0.0";1.6;21.0;"Nyclei";0.536;"Phogri, Eptser, Nycnoc";"";"";"";""
