"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir90-2007-Pass2-Tron1-Chiro_0_00000_000";"0.0";0.5;136.0;"noise";0.682;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00004_998";0.2;0.5;131.0;"noise";0.688;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00009_996";0.4;0.5;204.0;"noise";0.714;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00014_994";"0.0";0.3;204.0;"noise";0.778;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00019_992";"0.0";0.5;129.0;"noise";0.658;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00024_990";"0.0";0.5;131.0;"noise";0.668;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00029_989";"0.0";0.5;128.0;"noise";0.662;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00034_987";"0.0";0.5;123.0;"noise";0.664;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00039_985";0.2;0.5;145.0;"noise";0.648;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00044_983";"0.0";0.5;134.0;"noise";0.674;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00049_981";0.1;0.5;133.0;"noise";0.646;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00054_979";"0.0";0.5;141.0;"noise";0.744;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00059_977";"0.0";0.5;101.0;"noise";0.564;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00064_975";"0.0";0.5;131.0;"noise";0.63;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00069_973";"0.0";0.5;152.0;"noise";0.672;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00074_971";"0.0";0.5;149.0;"noise";0.61;"Myonat";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00079_970";0.2;0.5;204.0;"noise";0.768;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00084_968";"0.0";0.5;116.0;"noise";0.686;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00089_966";"0.0";0.5;149.0;"noise";0.664;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00094_964";"0.0";0.5;132.0;"noise";0.682;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00099_962";"0.0";0.5;130.0;"noise";0.672;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00104_960";"0.0";0.5;119.0;"noise";0.702;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00109_958";"0.0";0.4;204.0;"noise";0.772;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00114_956";"0.0";0.5;112.0;"noise";0.652;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00119_954";"0.0";0.5;114.0;"noise";0.648;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00124_952";"0.0";0.5;116.0;"noise";0.642;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00129_950";"0.0";0.5;120.0;"noise";0.67;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00134_949";"0.0";0.5;111.0;"noise";0.538;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00139_947";"0.0";0.5;113.0;"noise";0.582;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00144_945";"0.0";0.5;138.0;"noise";0.708;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00149_943";0.1;0.5;204.0;"noise";0.778;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00154_941";"0.0";0.5;135.0;"noise";0.672;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00159_939";"0.0";0.5;121.0;"noise";0.66;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00164_937";"0.0";0.5;141.0;"noise";0.652;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00169_935";"0.0";0.5;136.0;"noise";0.67;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00174_933";"0.0";0.5;135.0;"noise";0.652;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00179_931";"0.0";0.5;111.0;"noise";0.668;"Testes";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00184_930";0.3;0.5;204.0;"noise";0.726;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00189_928";"0.0";0.5;204.0;"noise";0.83;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00194_926";"0.0";0.1;204.0;"noise";0.72;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00199_924";"0.0";0.5;98.0;"noise";0.6;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00204_922";"0.0";0.5;106.0;"noise";0.69;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00209_920";"0.0";0.5;111.0;"noise";0.646;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00214_918";"0.0";0.5;180.0;"noise";0.73;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00219_916";"0.0";0.5;140.0;"noise";0.654;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00224_914";"0.0";0.5;149.0;"noise";0.678;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00229_912";"0.0";0.5;113.0;"noise";0.682;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00234_910";"0.0";0.5;153.0;"noise";0.68;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00239_909";"0.0";0.5;148.0;"noise";0.66;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00244_907";0.1;0.5;130.0;"noise";0.636;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00249_905";"0.0";0.5;121.0;"noise";0.668;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00254_903";"0.0";0.5;107.0;"noise";0.688;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00259_901";0.1;0.5;129.0;"noise";0.652;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00264_899";0.4;0.5;111.0;"noise";0.6;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00269_897";0.4;0.5;111.0;"noise";0.612;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00274_895";0.1;0.5;126.0;"noise";0.596;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00279_893";"0.0";0.5;129.0;"noise";0.724;"";"";"";"";""
