"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205100_000";4.9;5.0;19.0;"noise";0.676;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205453_555";4.9;5.0;13.0;"noise";0.732;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205538_555";2.0;2.1;75.0;"noise";0.526;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205820_990";4.3;4.4;88.0;"noise";0.668;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210209_799";2.2;3.1;75.0;"noise";0.608;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210344_373";4.4;4.5;60.0;"noise";0.432;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210648_061";2.0;2.1;16.0;"noise";0.486;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212636_168";2.1;2.3;8.0;"piaf";0.27;"Tetvir, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212646_168";1.6;1.7;8.0;"piaf";0.764;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212651_168";4.3;4.9;8.0;"piaf";0.858;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212701_168";2.6;2.9;9.0;"piaf";0.532;"Tetvir, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212729_039";1.1;1.3;8.0;"piaf";0.654;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212844_555";2.9;3.8;7.0;"piaf";0.498;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212854_555";0.4;1.6;8.0;"piaf";0.676;"Tetvir";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212859_555";4.0;4.3;7.0;"piaf";0.576;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212909_555";0.2;1.6;7.0;"piaf";0.78;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212919_555";4.3;5.0;8.0;"piaf";0.702;"Tetvir";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212924_555";"0.0";0.2;8.0;"piaf";0.81;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212944_555";2.8;3.0;8.0;"piaf";0.71;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212949_555";3.7;4.7;7.0;"piaf";0.89;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213039_555";0.3;0.4;8.0;"piaf";0.708;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213119_555";3.2;3.5;8.0;"piaf";0.798;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213151_910";4.5;4.7;7.0;"piaf";0.808;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213201_910";3.8;4.2;7.0;"piaf";0.764;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213216_910";2.6;2.7;8.0;"piaf";0.496;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213226_910";"0.0";1.8;8.0;"piaf";0.874;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213247_169";4.5;5.0;7.0;"piaf";0.84;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213252_169";"0.0";0.2;8.0;"piaf";0.65;"Tetvir";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213303_603";0.1;0.5;8.0;"piaf";0.664;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_213541_231";0.6;0.7;8.0;"noise";0.322;"piaf";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214313_415";4.9;5.0;76.0;"noise";0.572;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214420_825";3.4;5.0;46.0;"Myocap";0.32;"Myodau, Myoema";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214425_825";"0.0";0.6;42.0;"Myodau";0.224;"Myomys";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214430_825";4.9;5.0;10.0;"noise";0.77;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214649_069";4.9;5.0;7.0;"piaf";0.568;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_214654_069";0.7;0.8;7.0;"piaf";0.332;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_220936_225";1.3;1.5;62.0;"noise";0.332;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_221253_217";4.9;5.0;7.0;"noise";0.65;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_221954_425";"0.0";0.6;49.0;"Pippip";0.88;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_222105_000";0.1;1.4;59.0;"Myoema";0.218;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223546_481";0.6;2.8;50.0;"Pippip";0.784;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223601_788";0.9;1.1;47.0;"Pippip";0.578;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223621_788";4.7;5.0;50.0;"Pippip";0.29;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223626_788";"0.0";1.9;50.0;"Pippip";0.854;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223958_029";"0.0";0.1;12.0;"noise";0.558;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224116_631";1.8;5.0;48.0;"Pippip";0.828;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224657_647";1.3;1.4;49.0;"Pippip";0.352;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224938_589";2.8;5.0;45.0;"Myocap";0.324;"Myodau, Myonat, Myoema";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224943_589";"0.0";0.7;45.0;"Myodau";0.278;"Myonat, Myocap, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225514_785";3.6;4.7;50.0;"Pippip";0.768;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225519_785";1.6;2.9;49.0;"Pippip";0.624;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225524_785";0.4;4.9;51.0;"Pippip";0.882;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225530_547";2.4;2.5;50.0;"Pippip";0.378;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230024_387";3.1;3.2;49.0;"Pippip";0.378;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230128_380";1.9;4.1;51.0;"Pippip";0.522;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230133_380";0.7;5.0;51.0;"Pippip";0.784;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230138_380";"0.0";3.7;52.0;"Pippip";0.792;"Pippyg";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230143_380";2.5;5.0;51.0;"Pippip";0.702;"";"";"";"";""
