"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00000_000";"0.0";0.5;204.0;"noise";0.734;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00005_000";"0.0";0.5;204.0;"noise";0.522;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00010_000";"0.0";0.5;161.0;"noise";0.548;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00015_000";"0.0";0.5;26.0;"noise";0.586;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00020_000";"0.0";0.5;26.0;"noise";0.64;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00025_000";"0.0";0.5;204.0;"noise";0.752;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00030_000";"0.0";0.5;204.0;"noise";0.744;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00035_000";"0.0";0.5;29.0;"noise";0.732;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00040_000";"0.0";0.3;30.0;"noise";0.76;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00045_000";0.2;0.3;181.0;"noise";0.55;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00055_000";0.3;0.5;145.0;"noise";0.544;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00060_000";"0.0";0.5;204.0;"noise";0.808;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00065_000";"0.0";0.5;204.0;"noise";0.526;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00070_000";"0.0";0.3;204.0;"noise";0.688;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00080_000";0.4;0.5;186.0;"noise";0.524;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00085_000";"0.0";0.5;204.0;"noise";0.77;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00090_000";"0.0";0.5;204.0;"noise";0.716;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00095_000";"0.0";0.3;113.0;"noise";0.604;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00105_000";0.1;0.5;204.0;"noise";0.756;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00110_000";"0.0";0.5;204.0;"noise";0.554;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00115_000";"0.0";0.5;204.0;"noise";0.68;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00140_000";0.2;0.3;180.0;"noise";0.58;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00165_000";0.3;0.4;92.0;"noise";0.506;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00185_000";0.2;0.5;34.0;"noise";0.554;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00190_000";"0.0";0.5;204.0;"noise";0.794;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00195_000";"0.0";0.5;204.0;"noise";0.766;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00200_000";"0.0";"0.0";126.0;"noise";0.212;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00210_000";0.2;0.3;154.0;"noise";0.356;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00240_000";"0.0";0.1;243.0;"noise";0.446;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00250_000";0.4;0.5;204.0;"noise";0.58;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00255_000";"0.0";0.5;204.0;"noise";0.792;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00260_000";"0.0";0.5;204.0;"noise";0.63;"Phogri";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00265_000";"0.0";0.2;204.0;"noise";0.552;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00305_000";0.2;0.4;206.0;"noise";0.584;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00310_000";0.2;0.5;204.0;"noise";0.73;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00315_000";"0.0";0.5;204.0;"noise";0.626;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_0_00320_000";"0.0";0.5;204.0;"noise";0.734;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00000_000";0.1;5.0;21.0;"noise";0.802;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00005_000";0.4;5.0;17.0;"noise";0.748;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00010_000";"0.0";5.0;20.0;"noise";0.898;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00015_000";"0.0";5.0;23.0;"noise";0.898;"Plaint, Phogri";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00020_000";0.1;5.0;19.0;"noise";0.878;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00025_000";"0.0";5.0;25.0;"noise";0.916;"Testes";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00030_000";"0.0";5.0;22.0;"noise";0.83;"piaf";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00035_000";"0.0";5.0;20.0;"noise";0.83;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00040_000";"0.0";5.0;28.0;"noise";0.814;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00045_000";"0.0";5.0;23.0;"noise";0.748;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00050_000";"0.0";5.0;27.0;"noise";0.732;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00055_000";"0.0";5.0;22.0;"noise";0.842;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00060_000";0.2;5.0;18.0;"noise";0.946;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00065_000";0.3;5.0;18.0;"noise";0.906;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00070_000";"0.0";5.0;18.0;"noise";0.882;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00075_000";0.2;5.0;16.0;"noise";0.776;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00080_000";0.3;5.0;23.0;"noise";0.816;"Phanan";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00085_000";0.1;5.0;18.0;"noise";0.88;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00090_000";0.3;5.0;20.0;"noise";0.896;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00095_000";"0.0";5.0;16.0;"noise";0.84;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00100_000";0.5;5.0;19.0;"noise";0.88;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00105_000";0.2;5.0;14.0;"noise";0.77;"Phogri";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00110_000";"0.0";5.0;24.0;"noise";0.874;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00115_000";"0.0";5.0;14.0;"noise";0.856;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00120_000";0.1;5.0;13.0;"noise";0.766;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00125_000";0.3;5.0;13.0;"noise";0.728;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00130_000";"0.0";5.0;11.0;"noise";0.886;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00135_000";3.2;5.0;12.0;"Tetvir";0.646;"noise";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00135_000";4.8;4.9;36.0;"noise";0.328;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00140_000";0.8;5.0;22.0;"noise";0.882;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00145_000";"0.0";5.0;28.0;"noise";0.794;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00150_000";"0.0";5.0;24.0;"noise";0.802;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00155_000";"0.0";5.0;22.0;"noise";0.884;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00160_000";"0.0";5.0;17.0;"noise";0.888;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00165_000";1.0;5.0;21.0;"noise";0.792;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00170_000";0.1;5.0;29.0;"noise";0.8;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00175_000";"0.0";5.0;24.0;"noise";0.896;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00180_000";"0.0";5.0;25.0;"noise";0.78;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00185_000";0.7;5.0;22.0;"noise";0.88;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00190_000";0.1;5.0;22.0;"noise";0.786;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00195_000";"0.0";5.0;19.0;"noise";0.892;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00200_000";0.4;5.0;21.0;"noise";0.81;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00205_000";"0.0";5.0;26.0;"noise";0.83;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00210_000";"0.0";5.0;23.0;"noise";0.834;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00215_000";0.5;5.0;26.0;"noise";0.842;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00220_000";"0.0";5.0;22.0;"noise";0.852;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00225_000";0.3;5.0;19.0;"noise";0.738;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00230_000";0.2;5.0;19.0;"noise";0.876;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00235_000";0.1;5.0;17.0;"noise";0.868;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00240_000";"0.0";5.0;20.0;"noise";0.864;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00245_000";0.2;5.0;17.0;"noise";0.862;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00250_000";0.4;5.0;25.0;"noise";0.83;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00255_000";"0.0";5.0;22.0;"noise";0.88;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00260_000";"0.0";5.0;23.0;"noise";0.86;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00265_000";0.3;5.0;26.0;"noise";0.732;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00270_000";"0.0";5.0;13.0;"noise";0.776;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00275_000";"0.0";5.0;12.0;"noise";0.89;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00280_000";1.1;5.0;15.0;"noise";0.858;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00280_000";1.8;1.9;10.0;"Tetvir";0.594;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00285_000";"0.0";5.0;16.0;"noise";0.868;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00290_000";"0.0";5.0;21.0;"noise";0.886;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00295_000";"0.0";5.0;14.0;"noise";0.82;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00300_000";"0.0";5.0;18.0;"noise";0.866;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00305_000";0.7;5.0;22.0;"noise";0.88;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00310_000";1.2;5.0;23.0;"noise";0.822;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00315_000";0.1;5.0;26.0;"noise";0.95;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00320_000";"0.0";5.0;25.0;"noise";0.888;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00325_000";"0.0";5.0;26.0;"noise";0.782;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00330_000";0.1;5.0;25.0;"noise";0.83;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00335_000";"0.0";5.0;19.0;"noise";0.838;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00340_000";1.0;5.0;20.0;"noise";0.878;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00345_000";0.6;5.0;20.0;"noise";0.844;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00350_000";0.1;5.0;20.0;"noise";0.874;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00355_000";"0.0";5.0;24.0;"noise";0.844;"";"";"";"";""
"Cir750016-2011-Pass1-Tron1-Chiro_1_00360_000";0.3;1.9;25.0;"noise";0.798;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00000_000";"0.0";0.5;204.0;"noise";0.692;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00005_000";"0.0";0.5;204.0;"noise";0.72;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00010_000";"0.0";0.1;204.0;"noise";0.498;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00015_000";0.3;0.4;219.0;"noise";0.542;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00020_000";0.4;0.5;193.0;"noise";0.45;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00025_000";0.4;0.5;159.0;"noise";0.588;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00030_000";"0.0";0.5;36.0;"noise";0.714;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00035_000";"0.0";0.5;204.0;"noise";0.806;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00040_000";"0.0";0.3;204.0;"noise";0.688;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00045_000";0.3;0.4;160.0;"noise";0.558;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00050_000";0.1;0.5;204.0;"noise";0.762;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00055_000";"0.0";0.5;204.0;"noise";0.814;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00060_000";"0.0";0.5;19.0;"noise";0.618;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00075_000";0.4;0.5;164.0;"noise";0.502;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00085_000";0.4;0.5;158.0;"noise";0.354;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00305_000";0.2;0.3;204.0;"noise";0.368;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_0_00310_000";0.4;0.5;198.0;"noise";0.514;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00000_000";"0.0";5.0;21.0;"noise";0.816;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00005_000";0.1;5.0;25.0;"noise";0.83;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00010_000";"0.0";5.0;16.0;"noise";0.858;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00015_000";"0.0";5.0;15.0;"noise";0.87;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00020_000";0.3;5.0;12.0;"noise";0.84;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00025_000";1.7;5.0;13.0;"noise";0.764;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00030_000";2.5;5.0;15.0;"noise";0.676;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00035_000";0.1;5.0;10.0;"noise";0.72;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00040_000";0.2;5.0;14.0;"noise";0.678;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00045_000";1.2;5.0;13.0;"noise";0.846;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00050_000";0.3;5.0;14.0;"noise";0.848;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00055_000";"0.0";5.0;13.0;"noise";0.684;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00060_000";2.7;5.0;12.0;"noise";0.734;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00065_000";"0.0";5.0;15.0;"noise";0.714;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00070_000";4.9;5.0;25.0;"noise";0.734;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00075_000";0.2;5.0;14.0;"noise";0.734;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00080_000";"0.0";5.0;12.0;"noise";0.758;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00085_000";0.7;5.0;11.0;"noise";0.78;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00090_000";0.8;5.0;9.0;"noise";0.732;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00095_000";3.0;5.0;9.0;"noise";0.708;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00100_000";1.9;5.0;8.0;"noise";0.834;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00105_000";0.2;5.0;10.0;"noise";0.794;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00110_000";1.0;5.0;9.0;"noise";0.718;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00115_000";2.2;5.0;13.0;"noise";0.72;"Tetvir";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00120_000";0.5;5.0;9.0;"noise";0.84;"";"";"";"";""
"Cir750016-2011-Pass1-Tron10-Chiro_1_00125_000";0.1;5.0;10.0;"noise";0.71;"";"";"";"";""
