"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir750008-2008-Pass2-Tron1-Chiro_0_00000_000";0.4;0.5;111.0;"noise";0.632;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00004_998";0.4;0.5;111.0;"noise";0.66;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00009_996";0.4;0.5;111.0;"noise";0.67;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00014_994";0.3;0.5;91.0;"noise";0.63;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00019_992";0.4;0.5;111.0;"noise";0.452;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00024_990";0.4;0.5;111.0;"noise";0.644;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00029_989";0.3;0.5;9.0;"noise";0.634;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00034_987";0.4;0.5;111.0;"noise";0.646;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00039_985";0.4;0.5;111.0;"noise";0.688;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00044_983";0.4;0.5;111.0;"noise";0.67;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00049_981";0.4;0.5;111.0;"noise";0.61;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00054_979";"0.0";0.5;68.0;"noise";0.65;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00059_977";0.4;0.5;111.0;"noise";0.662;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00064_975";0.4;0.5;111.0;"noise";0.686;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00069_973";0.4;0.5;111.0;"noise";0.696;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00074_971";0.4;0.5;111.0;"noise";0.598;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00079_970";0.4;0.5;111.0;"noise";0.672;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00084_968";0.4;0.5;111.0;"noise";0.674;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00089_966";0.4;0.5;111.0;"noise";0.674;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00094_964";0.4;0.5;111.0;"noise";0.642;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00099_962";0.4;0.5;111.0;"noise";0.688;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00104_960";0.4;0.5;111.0;"noise";0.62;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00109_958";0.4;0.5;111.0;"noise";0.638;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00114_956";0.4;0.5;111.0;"noise";0.676;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00119_954";0.4;0.5;111.0;"noise";0.482;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00124_952";0.4;0.5;111.0;"noise";0.642;"";"";"";"";""
"Cir750008-2008-Pass2-Tron1-Chiro_0_00129_950";0.4;0.5;111.0;"noise";0.662;"";"";"";"";""
