"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car291547-2017-Pass1-Z1-017329_0_20170609_215530_864";"0.0";0.2;35.0;"noise";0.484;"Phogri, Testes";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_215731_154";"0.0";0.1;40.0;"noise";0.452;"Leppun";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_215754_491";1.5;1.6;7.0;"noise";0.64;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_215809_921";"0.0";0.5;31.0;"noise";0.47;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_220326_213";2.1;2.2;14.0;"noise";0.538;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_220749_311";0.7;2.1;29.0;"noise";0.536;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_221058_255";"0.0";2.9;96.0;"noise";0.622;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_221509_865";"0.0";0.1;94.0;"noise";0.576;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_221728_031";"0.0";0.9;35.0;"noise";0.722;"Testes";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_221802_000";0.1;1.7;39.0;"noise";0.592;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_221938_339";"0.0";0.1;36.0;"noise";0.596;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222002_147";0.4;4.8;33.0;"noise";0.528;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222211_077";0.1;2.4;10.0;"noise";0.522;"Tetvir";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222214_362";0.1;4.2;29.0;"noise";0.668;"Phogri, Testes";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222235_859";"0.0";"0.0";54.0;"noise";0.428;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222323_651";"0.0";1.0;16.0;"noise";0.568;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222440_993";"0.0";1.8;38.0;"noise";0.588;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222512_147";"0.0";2.9;9.0;"noise";0.544;"Tetvir, Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222525_546";"0.0";2.4;37.0;"noise";0.554;"Leppun";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222711_961";0.1;0.3;26.0;"noise";0.46;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222755_570";"0.0";0.6;37.0;"noise";0.482;"Phogri, Testes";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222832_101";2.0;4.7;26.0;"noise";0.604;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222837_101";0.4;1.4;34.0;"noise";0.382;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222842_524";1.1;1.2;25.0;"noise";0.376;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222849_568";0.2;0.3;24.0;"noise";0.36;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222852_437";0.8;0.9;32.0;"noise";0.468;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222857_455";"0.0";4.6;23.0;"noise";0.62;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222902_455";"0.0";0.6;24.0;"noise";0.44;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222904_849";"0.0";0.6;35.0;"noise";0.434;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222930_142";1.6;1.7;6.0;"noise";0.482;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_222951_993";2.6;2.7;24.0;"noise";0.422;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224242_533";"0.0";0.1;49.0;"noise";0.488;"Leppun";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224248_711";"0.0";1.7;36.0;"noise";0.48;"Lamsp.";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224804_000";0.3;0.4;48.0;"Pippip";0.284;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224903_334";"0.0";3.6;49.0;"Pippip";0.806;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224903_334";3.7;3.9;22.0;"noise";0.526;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224949_837";"0.0";2.5;52.0;"Pippip";0.752;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224949_837";0.3;2.6;24.0;"noise";0.56;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224953_936";"0.0";4.1;59.0;"Pippip";0.812;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_224953_936";0.7;0.8;8.0;"noise";0.284;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225044_444";"0.0";3.4;49.0;"Pippip";0.8;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225044_444";1.8;3.5;9.0;"noise";0.612;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225049_356";"0.0";2.1;51.0;"Pippip";0.76;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225053_349";"0.0";2.1;49.0;"Pippip";0.756;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225118_601";"0.0";4.0;53.0;"Pippip";0.786;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225133_094";"0.0";3.3;51.0;"Pippip";0.864;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225133_094";2.8;3.0;37.0;"noise";0.5;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225142_777";"0.0";4.4;53.0;"Pippip";0.776;"noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225205_395";"0.0";3.0;50.0;"Pippip";0.824;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225219_789";"0.0";2.4;56.0;"Pippip";0.514;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225235_429";"0.0";5.0;57.0;"Pippip";0.832;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225235_429";0.2;1.0;31.0;"noise";0.52;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225240_429";"0.0";2.2;51.0;"Pippip";0.798;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225240_429";2.0;2.2;30.0;"noise";0.45;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225243_532";"0.0";2.1;50.0;"Pippip";0.71;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225243_532";0.9;1.9;48.0;"noise";0.578;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225246_595";"0.0";3.7;51.0;"Pippip";0.732;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225250_999";"0.0";5.0;56.0;"Pippip";0.756;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225250_999";1.3;1.4;44.0;"noise";0.3;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225255_999";"0.0";5.0;54.0;"Pippip";0.83;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225255_999";4.1;4.7;8.0;"noise";0.336;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225300_999";"0.0";2.7;52.0;"Pippip";0.784;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225303_897";"0.0";5.0;52.0;"Pippip";0.812;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225308_897";"0.0";5.0;55.0;"Pippip";0.83;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225308_897";3.6;3.7;7.0;"noise";0.286;"piaf";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225313_897";"0.0";5.0;55.0;"Pippip";0.83;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225313_897";0.3;4.8;7.0;"noise";0.558;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225318_897";"0.0";5.0;53.0;"Pippip";0.854;"";"";"";"";""
