"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203932_000";3.4;4.9;11.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203942_001";4.0;4.1;10.0;"Tetvir";0.08;"noise, Phofem, Phogri";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203947_002";0.9;3.9;10.0;"noise";0.9;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203952_002";2.1;2.2;30.0;"Tetvir";0.02;"Phogri, Leppun, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203952_002";0.6;3.7;12.0;"noise";0.89;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204007_004";2.5;2.8;10.0;"noise";0.95;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204012_005";1.3;4.8;16.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204017_006";0.1;5.0;12.0;"noise";0.94;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204022_006";0.4;4.1;35.0;"noise";0.94;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204022_006";0.2;4.5;12.0;"Tetvir";0.52;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204027_007";0.3;5.0;12.0;"noise";0.97;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204032_008";"0.0";4.9;19.0;"noise";0.74;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204037_008";0.5;4.3;13.0;"noise";0.9;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204042_009";0.3;4.9;12.0;"noise";0.98;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204047_010";0.3;4.1;12.0;"noise";0.73;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204052_010";0.7;4.7;13.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204057_011";0.4;5.0;12.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204057_011";3.1;4.2;41.0;"Pipkuh";0.09;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204102_012";"0.0";4.9;12.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204107_012";0.1;5.0;15.0;"noise";0.93;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204112_013";0.6;0.7;31.0;"noise";0.1;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204112_013";0.1;5.1;11.0;"Tetvir";0.65;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204117_014";"0.0";4.2;12.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204122_014";1.5;4.5;12.0;"noise";0.19;"Phogri";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204127_015";0.4;5.0;14.0;"noise";0.78;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204132_016";0.8;5.0;42.0;"noise";0.6;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204132_016";"0.0";5.0;12.0;"Tetvir";0.45;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204137_016";0.1;4.5;14.0;"noise";0.89;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204142_017";1.4;1.6;39.0;"Leppun";0.06;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204142_017";1.2;5.0;12.0;"noise";0.83;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204147_018";0.2;2.6;36.0;"Phogri";0.04;"Tetvir, Pipkuh";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204147_018";0.3;4.7;11.0;"Tetvir";0.47;"noise";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018";0.2;4.9;30.0;"noise";0.51;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018";"0.0";3.9;16.0;"Phanan";0.03;"Phogri";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018";1.6;4.9;12.0;"Tetvir";0.51;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204157_019";0.2;3.9;13.0;"noise";0.86;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204202_020";0.5;4.7;12.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204207_020";"0.0";4.2;14.0;"noise";0.9;"";"";"";"";""
