"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir464-2016-Pass1-Tron1-Chiro_0_00000_000";"0.0";0.5;126.0;"noise";0.81;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00005_000";"0.0";0.5;117.0;"noise";0.97;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00010_000";0.1;0.2;53.0;"Tetvir";0.02;"Pippip, Pipkuh, Phogri, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00010_000";"0.0";0.5;110.0;"noise";0.86;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00015_000";0.1;0.5;108.0;"noise";0.96;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00015_000";0.2;0.3;46.0;"Pippip";0.07;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00020_000";"0.0";0.5;216.0;"noise";0.98;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00025_000";"0.0";0.5;205.0;"noise";0.99;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00030_000";"0.0";0.5;118.0;"noise";0.81;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00035_000";"0.0";0.5;206.0;"noise";0.85;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00040_000";"0.0";0.5;128.0;"noise";0.95;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00040_000";"0.0";0.1;15.0;"Tetvir";0.08;"Phogri";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00045_000";0.2;0.3;64.0;"Myomys";0.05;"Pippip, Myoema";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00045_000";"0.0";0.5;117.0;"noise";0.93;"";"";"";"";""
"Cir464-2016-Pass1-Tron1-Chiro_0_00050_000";"0.0";0.5;112.0;"noise";0.93;"";"";"";"";""
