"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir464-2016-Pass2-Tron1-Chiro_0_00000_000";"0.0";0.5;112.0;"noise";0.92;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00000_000";"0.0";0.1;21.0;"Roeroe";0.04;"Tetvir, Phogri";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00005_000";"0.0";0.5;125.0;"noise";0.94;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00005_000";"0.0";0.1;36.0;"Pipkuh";0.09;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00010_000";0.4;0.5;57.0;"Pippip";0.03;"Tetvir, Pipkuh, Myomys";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00010_000";"0.0";0.5;120.0;"noise";0.94;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00015_000";0.1;0.2;60.0;"Phogri";0.03;"Tetvir, Pippip, Pipkuh";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00015_000";"0.0";0.5;116.0;"noise";0.94;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00020_000";"0.0";0.1;42.0;"Pipkuh";0.03;"Tetvir, Pippip, Leppun";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00020_000";"0.0";0.5;122.0;"noise";0.93;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00025_000";"0.0";0.5;110.0;"noise";0.94;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00025_000";0.3;0.4;19.0;"Tetvir";0.02;"Plaint, Phogri, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00030_000";"0.0";0.2;52.0;"Tetvir";0.02;"Phogri, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00030_000";"0.0";0.5;120.0;"noise";0.95;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00035_000";0.2;0.4;48.0;"Phogri";0.05;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00035_000";"0.0";0.5;125.0;"noise";0.96;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00040_000";"0.0";0.5;207.0;"noise";0.98;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00040_000";"0.0";0.4;43.0;"Yerray";0.04;"Tetvir, Pippip, Pipkuh, Phogri, Leppun";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00045_000";"0.0";0.5;207.0;"noise";0.97;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00045_000";0.1;0.2;43.0;"Pippip";0.07;"";"";"";"";""
"Cir464-2016-Pass2-Tron1-Chiro_0_00050_000";"0.0";0.5;108.0;"noise";0.95;"";"";"";"";""
