"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"20"	"21"	"22"	"23"	"00"	"01"	"02"	"03"	"04"	"05"	"06"	"07"
"Barbar"	"Chauve-souris"	"Barbastelle d'Europe"	"Barbastella barbastellus"	"1"	3	0	0	1	0	0	0	0	1	0	0	1	0
"Eptser"	"Chauve-souris"	"Serotine commune"	"Eptesicus serotinus"	"1"	3	12	3	11	31	36	37	90	47	56	15	1	0
"MyoGT"	"Chauve-souris"	"Murin de grande taille"	"Myotis cf. myotis"	"1"	3	0	0	0	4	0	0	0	0	0	0	0	0
"Myodau"	"Chauve-souris"	"Murin de Daubenton"	"Myotis daubentonii"	"28"	3	0	0	0	0	1	0	0	1	0	0	0	0
"Myoema"	"Chauve-souris"	"Murin a oreilles echancrees"	"Myotis emarginatus"	"10"	3	0	1	0	1	0	0	0	0	2	0	0	0
"Myonat"	"Chauve-souris"	"Murin groupe Natterer"	"Myotis nattereri"	"1"	3	0	0	0	1	0	1	0	1	1	0	10	0
"Nyclei"	"Chauve-souris"	"Noctule de Leisler"	"Nyctalus leisleri"	"1"	3	7	5	3	1	3	0	1	0	5	23	11	0
"Nycnoc"	"Chauve-souris"	"Noctule commune"	"Nyctalus noctula"	"1"	3	2	2	0	1	0	1	2	0	2	1	1	0
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"1"	3	0	4	3	13	8	7	19	9	4	2	0	0
"Pipnat"	"Chauve-souris"	"Pipistrelle de Nathusius"	"Pipistrellus nathusii"	"7"	3	0	3	7	5	0	2	0	1	0	2	0	0
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"1"	3	4	89	53	172	113	75	182	102	80	45	15	0
"Pleaur"	"Chauve-souris"	"Oreillard roux"	"Plecotus auritus"	"10"	3	0	0	0	1	2	0	0	0	0	0	0	0
"Pleaus"	"Chauve-souris"	"Oreillard gris"	"Plecotus austriacus"	"10"	3	0	0	0	5	0	1	2	2	4	3	1	0
"Rhihip"	"Chauve-souris"	"Petit Rhinolophe"	"Rhinolophus hipposideros"	"1"	3	0	0	0	0	0	1	0	0	0	0	1	0
"Leppun"	"Sauterelle"	"Sauterelle ponctuee"	"Leptophyes punctatissima"	"89"	2	0	0	0	0	0	0	1	0	0	0	0	0
"Phanan"	"Sauterelle"	"Phaneroptere meridional"	"Phaneroptera nana"	"31"	2	13	10	16	36	29	15	57	30	25	2	0	1
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"87"	2	0	0	0	1	0	0	0	0	0	0	0	0
"Urorug"	"Sauterelle"	"Ephippigere carenee"	"Uromenus rugosicollis"	"83"	2	0	0	0	1	0	0	0	0	2	0	0	0
"Yerray"	"Sauterelle"	"Decticelle frele"	"Yersinella raymondii"	"90"	2	0	0	0	1	1	2	6	2	1	0	0	0
"noise"	"Autre"	"bruit"	"noise"	"81"	1	16	22	33	20	8	1	44	12	2	2	4	1
"piaf"	"Autre"	"Oiseau sp."	"Aves sp."	"99"	1	0	0	0	1	0	0	0	0	0	0	0	0
