"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"Nb Validations"	"Effort de validation"	"Nb de Contacts par Nuit"	"Niveau d'Activite"	"TriGroupe"
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"5"	"0"	"-"	"217"	"MODEREE"	3
"Myomys"	"Chauve-souris"	"Murin a moustaches"	"Myotis mystacinus"	"8"	"0"	"-"	"19"	"FORTE"	3
"Barbar"	"Chauve-souris"	"Barbastelle d'Europe"	"Barbastella barbastellus"	"3"	"0"	"-"	"3"	"MODEREE"	3
"Nyclei"	"Chauve-souris"	"Noctule de Leisler"	"Nyctalus leisleri"	"5"	"0"	"-"	"3"	"MODEREE"	3
"Myoalc"	"Chauve-souris"	"Murin d'Alcathoe"	"Myotis alcathoe"	"10"	"0"	"-"	"2"	"MODEREE"	3
"Myodau"	"Chauve-souris"	"Murin de Daubenton"	"Myotis daubentonii"	"29"	"0"	"-"	"1"	"MODEREE"	3
"Myonat"	"Chauve-souris"	"Murin groupe Natterer"	"Myotis nattereri"	"64"	"0"	"-"	"1"	"FAIBLE"	3
"Pipnat"	"Chauve-souris"	"Pipistrelle de Nathusius"	"Pipistrellus nathusii"	"57"	"0"	"-"	"1"	"MODEREE"	3
"Tadten"	"Chauve-souris"	"Molosse"	"Tadarida teniotis"	"81"	"0"	"-"	"1"	"FAIBLE"	3
"Minsch"	"Chauve-souris"	"Minioptere"	"Miniopterus schreibersii"	"16"	"0"	"-"	"0"	"FAIBLE"	3
"Myoema"	"Chauve-souris"	"Murin a oreilles echancrees"	"Myotis emarginatus"	"89"	"0"	"-"	"0"	"FAIBLE"	3
"Pleaus"	"Chauve-souris"	"Oreillard gris"	"Plecotus austriacus"	"99"	"0"	"-"	"0"	"FAIBLE"	3
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"3"	"0"	"-"	"427"	"MODEREE"	2
"Plaint"	"Sauterelle"	"Decticelle intermediaire"	"Platycleis intermedia"	"98"	"0"	"-"	"0"	"FAIBLE"	2
"noise"	"Autre"	"bruit"	"noise"	"61"	"0"	"-"	"249"	"FAIBLE"	1
"piaf"	"Autre"	"Oiseau sp."	"Aves sp."	"8"	"0"	"-"	"160"	"FORTE"	1
