"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"Canal"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"Barbar"	"Chauve-souris"	"Barbastelle d'Europe"	"Barbastella barbastellus"	"29"	3	"Direct"	0	0	0	0	0	0	1	0	0	0
"Eptser"	"Chauve-souris"	"Serotine commune"	"Eptesicus serotinus"	"18"	3	"Direct"	0	0	0	0	2	0	3	0	1	1
"Eptser"	"Chauve-souris"	"Serotine commune"	"Eptesicus serotinus"	"18"	3	"Expansion"	0	0	0	0	0	0	1	0	1	0
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"2"	3	"Direct"	0	1	0	3	1	6	6	8	18	4
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"2"	3	"Expansion"	0	0	0	0	0	1	1	0	3	0
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"8"	3	"Direct"	0	1	4	2	1	2	6	0	6	0
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"8"	3	"Expansion"	2	0	0	0	1	1	0	0	2	2
"Leppun"	"Sauterelle"	"Sauterelle ponctuee"	"Leptophyes punctatissima"	"71"	2	"Direct"	0	0	0	0	0	0	1	0	0	0
"Plaalb"	"Sauterelle"	"Decticelle chagrinee"	"Platycleis albopunctata"	"3"	2	"Direct"	2	0	3	0	0	1	3	2	3	4
"Plaalb"	"Sauterelle"	"Decticelle chagrinee"	"Platycleis albopunctata"	"3"	2	"Expansion"	0	0	1	0	0	0	0	0	0	1
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"1"	2	"Direct"	0	2	5	0	0	6	1	1	6	0
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"1"	2	"Expansion"	0	1	2	0	0	1	0	0	3	0
"Testes"	"Sauterelle"	"Decticelle carroyee"	"Tessellana tessellata"	"6"	2	"Direct"	1	2	0	0	0	1	4	1	0	3
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"2"	2	"Direct"	11	9	6	21	10	5	34	5	7	7
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"2"	2	"Expansion"	3	0	0	3	0	0	0	0	0	0
"Cympud"	"Autre"	"Ecaille pudique"	"Cymbalophora pudica"	"17"	1	"Direct"	0	1	0	0	0	0	0	0	0	0
"noise"	"Autre"	"bruit"	"noise"	"10"	1	"Direct"	73	86	67	71	73	78	76	74	71	69
"noise"	"Autre"	"bruit"	"noise"	"10"	1	"Expansion"	52	58	48	65	61	53	65	35	44	64
