"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"Canal"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"Eptser"	"Chauve-souris"	"Serotine commune"	"Eptesicus serotinus"	"92"	3	"Expansion"	0	0	0	0	0	0	0	0	0	2
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"72"	3	"Expansion"	1	0	1	0	0	0	0	1	0	1
"Pipnat"	"Chauve-souris"	"Pipistrelle de Nathusius"	"Pipistrellus nathusii"	"90"	3	"Expansion"	0	0	0	0	1	0	0	0	0	0
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"26"	3	"Expansion"	1	0	0	0	0	1	3	4	2	3
"Confus"	"Sauterelle"	"Conocephale bigarre"	"Conocephalus fuscus"	"94"	2	"Expansion"	1	0	0	0	0	0	0	1	0	0
"Decalb"	"Sauterelle"	"Dectique a front blanc"	"Decticus albifrons"	"91"	2	"Expansion"	0	1	0	0	0	0	0	0	0	0
"Plaalb"	"Sauterelle"	"Decticelle chagrinee"	"Platycleis albopunctata"	"40"	2	"Expansion"	1	0	2	2	0	1	0	1	0	0
"Roeroe"	"Sauterelle"	"Decticelle bariolee"	"Roeseliana roeselii"	"86"	2	"Expansion"	0	0	0	0	0	0	1	1	0	0
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"1"	2	"Expansion"	0	0	0	0	0	1	9	2	0	0
"Testes"	"Sauterelle"	"Decticelle carroyee"	"Tessellana tessellata"	"96"	2	"Expansion"	0	0	0	0	0	0	0	0	1	0
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"76"	2	"Expansion"	0	0	2	0	0	1	2	0	0	0
"noise"	"Autre"	"bruit"	"noise"	"4"	1	"Expansion"	12	56	42	64	41	43	54	48	31	32
