"Code";"Groupe";"Nom français";"Nom scientifique";"Risque d'erreur (%)";"Nb Validations";"Effort de validation";"Nb de Contacts en expansion";"Niveau d'Activite en expansion";"Nb de Contacts en direct";"Niveau d'Activite en direct";"TriGroupe"
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"3";NA;"-";"120";"TRES FORTE";"";"";3
"Pipkuh";"Chauve-souris";"Pipistrelle de Kuhl";"Pipistrellus kuhlii";"7";NA;"-";"62";"TRES FORTE";"";"";3
"Pipnat";"Chauve-souris";"Pipistrelle de Nathusius";"Pipistrellus nathusii";"62";NA;"-";"7";"FORTE";"";"";3
"Myomys";"Chauve-souris";"Murin a moustaches";"Myotis mystacinus";"93";NA;"-";"3";NA;"";"";3
"Pippyg";"Chauve-souris";"Pipistrelle soprane";"Pipistrellus pygmaeus";"86";NA;"-";"3";"FORTE";"";"";3
"Myoema";"Chauve-souris";"Murin a oreilles echancrees";"Myotis emarginatus";"80";NA;"-";"2";NA;"";"";3
"Eptser";"Chauve-souris";"Serotine commune";"Eptesicus serotinus";"85";NA;"-";"1";"FAIBLE";"";"";3
"Myonat";"Chauve-souris";"Murin groupe Natterer";"Myotis nattereri";"97";NA;"-";"1";NA;"";"";3
"Rusnit";"Sauterelle";"Conocephale gracieux";"Ruspolia nitidula";"1";NA;"-";"194";"TRES FORTE";"";"";2
"Tetvir";"Sauterelle";"Sauterelle verte";"Tettigonia viridissima";"12";NA;"-";"190";"TRES FORTE";"";"";2
"Phogri";"Sauterelle";"Decticelle cendree";"Pholidoptera griseoaptera";"57";NA;"-";"49";"TRES FORTE";"";"";2
"Yerray";"Sauterelle";"Decticelle frele";"Yersinella raymondii";"21";NA;"-";"42";"TRES FORTE";"";"";2
"Plaalb";"Sauterelle";"Decticelle chagrinee";"Platycleis albopunctata";"14";NA;"-";"30";"TRES FORTE";"";"";2
"Confus";"Sauterelle";"Conocephale bigarre";"Conocephalus fuscus";"27";NA;"-";"26";"TRES FORTE";"";"";2
"Leppun";"Sauterelle";"Sauterelle ponctuee";"Leptophyes punctatissima";"95";NA;"-";"17";"FORTE";"";"";2
"Roeroe";"Sauterelle";"Decticelle bariolee";"Roeseliana roeselii";"30";NA;"-";"11";"TRES FORTE";"";"";2
"Phanan";"Sauterelle";"Phaneroptere meridional";"Phaneroptera nana";"28";NA;"-";"7";"FORTE";"";"";2
"Isopyr";"Sauterelle";"Barbatiste pyreneen";"Isophya pyrenaea";"28";NA;"-";"6";NA;"";"";2
"Urosp";"Sauterelle";"Ephippigère carénée/d'Algérie";"Uromenus sp.";"65";NA;"-";"4";NA;"";"";2
"Epheph";"Sauterelle";"Ephippigere des vignes";"Ephippiger ephippiger";"95";NA;"-";"3";"FORTE";"";"";2
"Cyrscu";"Sauterelle";"Meconeme a bouclier";"Cyrtaspis scutata";"93";NA;"-";"2";NA;"";"";2
"Plaaff";"Sauterelle";"Decticelle cotiere";"Platycleis affinis";"94";NA;"-";"2";NA;"";"";2
"Sepsep";"Sauterelle";"Decticelle echassiere";"Sepiana sepium";"90";NA;"-";"1";"FAIBLE";"";"";2
"Testes";"Sauterelle";"Decticelle carroyee";"Tessellana tessellata";"93";NA;"-";"1";"FAIBLE";"";"";2
"noise";"Autre";"bruit";"noise";"1";NA;"-";"1227";"TRES FORTE";"";"";1
"Insp10";"Autre";"Insecte sp. type 10";"Insect sp.10";"97";NA;"-";"3";NA;"";"";1
"Tetpyg";"Autre";"Cigale pygmee";"Tettigetta pygmea";"97";NA;"-";"1";NA;"";"";1
"mamm";"Autre";"Mammifere sp.";"Mammalia sp.";"97";NA;"-";"1";NA;"";"";1
