"nom du fichier","tadarida_taxon","temps_debut","temps_fin","frequence_mediane","tadarida_probabilite","tadarida_taxon_autre","observateur_taxon","observateur_probabilite","validateur_taxon","validateur_probabilite","participation","amph","Antped","Antsor","Aposyl","Barbar","Barfis","Barsan","Barser","Bicbic","chirp","Cicorn","Concon","Confus","Corcho","criq","Cympud","Cyrscu","Decalb","Epheph","Eptnil","Eptser","Eumbor","Eupcha","Euptyr","Grycam","Hypsav","Inssp5","Inssp6","Inssp7","Inssp8","Inssp9","Isopyr","Lamsp.","Leppun","Lyrple","mamm","Micagr","Minsch","Mussp","Myoalc","Myobec","Myobra","Myocap","Myodas","Myodau","Myoema","MyoGT","Myomys","Myonat","noise","Nyclas","Nyclei","Nycnoc","Ortsp.","Phafal","Phanan","Phofem","Phogri","piaf","Pipkuh","Pipmad","Pipnat","Pippip","Pippyg","Plaaff","Plaalb","Plafal","Plaint","Plasab","Pleaur","Pleaus","Plemac","Ptebon","Pteger","Ptehey","Ptepon","Ratnor","Rhieur","Rhifer","Rhihip","Roeroe","Rusnit","Sepsep","Tadten","Testes","Tetcan","Tetvir","Thycor","Tyllil","Urobre","Urorug","Vesmur","Yerbey","Yerray","ProbEsp_C2bs"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205100_000","noise",4.9,5,19,0.676,"","","","","","5857d56d9ebce1000ed89ea7",0.034,0,0.002,0.004,0.004,0.026,0.006,0,0,0.002,0.006,0,0.002,0.004,0,0,0.006,0.018,0.012,0.004,0.008,0.002,0.002,0.008,0.016,0.012,0.002,0.002,0,0,0,0.01,0.002,0.006,0,0.008,0.004,0,0.004,0.016,0.002,0,0.014,0.002,0.004,0.008,0,0.01,0.01,0.206,0.002,0.018,0.016,0,0.016,0.016,0.026,0.03,0.078,0.012,0.002,0.002,0.004,0.01,0.01,0.006,0,0.014,0.004,0.01,0.004,0,0.004,0,0,0.006,0,0.002,0,0.008,0.018,0.02,0.018,0.02,0.014,0.016,0.07,0,0.016,0,0.014,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205453_555","noise",4.9,5,13,0.732,"","","","","","5857d56d9ebce1000ed89ea7",0.028,0,0,0.004,0.004,0.018,0.006,0,0,0.002,0.006,0,0,0.002,0,0,0.002,0.032,0.012,0.004,0.008,0.002,0.002,0.014,0.022,0.014,0,0.002,0,0,0,0.006,0.002,0.006,0,0.008,0.006,0,0.004,0.016,0.002,0,0.012,0.002,0.004,0.006,0,0.008,0.01,0.21,0.002,0.016,0.012,0,0.014,0.018,0.03,0.03,0.096,0.014,0.002,0.002,0.004,0.01,0.01,0.004,0,0.012,0.004,0.006,0.004,0,0.002,0,0,0.006,0,0,0,0.01,0.012,0.02,0.012,0.024,0.008,0.016,0.08,0,0.008,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205538_555","noise",2,2.1,75,0.526,"","","","","","5857d56d9ebce1000ed89ea7",0.01,0,0,0,0.004,0.01,0.004,0.002,0,0.002,0,0.002,0.004,0,0,0,0.002,0.014,0.008,0.024,0.002,0.002,0,0.006,0.002,0.012,0,0.008,0,0,0,0.004,0.02,0.016,0,0.002,0.002,0.014,0.004,0.046,0,0,0.044,0.002,0.018,0.046,0,0.07,0.02,0.17,0,0.006,0.002,0,0.008,0.01,0.01,0.028,0.03,0.028,0.024,0.004,0.03,0.004,0.002,0.004,0,0.006,0.002,0.006,0.022,0,0.002,0,0,0.002,0,0.008,0.016,0.02,0.022,0.016,0,0.004,0.006,0.004,0.058,0,0.002,0,0.004,0,0,0.014,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_205820_990","noise",4.3,4.4,88,0.668,"","","","","","5857d56d9ebce1000ed89ea7",0.008,0,0,0,0.004,0.006,0.002,0,0,0.002,0,0.002,0.006,0.002,0,0,0.002,0.012,0.004,0.022,0.002,0.002,0,0.006,0.002,0.01,0,0.002,0,0,0,0.004,0.012,0.01,0,0.002,0.004,0.016,0.002,0.046,0,0,0.042,0.002,0.018,0.038,0,0.058,0.02,0.174,0,0.006,0.01,0,0.006,0.012,0.006,0.024,0.028,0.03,0.022,0.006,0.034,0.006,0.002,0.004,0,0.004,0.002,0.006,0.018,0,0.004,0,0,0.002,0,0.04,0.012,0.036,0.024,0.014,0,0.004,0.006,0.01,0.062,0,0.002,0,0.004,0,0,0.01,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210209_799","noise",2.2,3.1,75,0.608,"","","","","","5857d56d9ebce1000ed89ea7",0.008,0,0,0,0.004,0.008,0.004,0,0,0.002,0,0.002,0.008,0.002,0,0.002,0.004,0.014,0.008,0.028,0,0.002,0,0.006,0.002,0.014,0,0.008,0,0,0,0.004,0.016,0.014,0,0.002,0.004,0.016,0.004,0.048,0,0,0.046,0.002,0.02,0.048,0,0.072,0.02,0.17,0,0.006,0.002,0,0.008,0.012,0.006,0.026,0.028,0.03,0.02,0.006,0.028,0.002,0.002,0.004,0,0.002,0.002,0.006,0.02,0,0.002,0,0,0.002,0,0.01,0.016,0.024,0.024,0.014,0,0.004,0.004,0.004,0.058,0,0.002,0,0.004,0,0,0.01,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210344_373","noise",4.4,4.5,60,0.432,"","","","","","5857d56d9ebce1000ed89ea7",0.01,0,0,0,0.004,0.01,0.004,0.002,0,0.002,0,0,0.008,0.002,0,0,0.002,0.016,0.008,0.02,0.002,0.002,0,0.006,0.002,0.01,0,0.008,0,0,0,0.004,0.022,0.016,0,0.002,0.002,0.014,0.004,0.048,0,0,0.048,0.002,0.02,0.046,0,0.076,0.02,0.166,0,0.006,0.002,0,0.008,0.008,0.012,0.028,0.034,0.028,0.024,0.004,0.032,0.004,0.002,0.004,0,0.006,0.002,0.006,0.022,0,0.004,0,0,0.002,0,0.006,0.014,0.014,0.02,0.01,0,0.004,0.006,0.004,0.05,0,0.004,0,0.008,0,0,0.014,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_210648_061","noise",2,2.1,16,0.486,"","","","","","5857d56d9ebce1000ed89ea7",0.036,0.002,0,0.006,0.004,0.026,0.006,0,0,0.002,0.002,0,0.006,0.002,0,0,0.004,0.026,0.014,0.006,0.008,0.002,0.002,0.01,0.02,0.012,0,0.002,0,0,0,0.012,0.008,0.01,0,0.01,0.004,0,0.004,0.014,0.002,0,0.014,0.002,0.002,0.008,0,0.012,0.01,0.194,0.002,0.02,0.01,0,0.016,0.02,0.028,0.032,0.074,0.02,0.002,0.002,0.002,0.01,0.01,0.006,0,0.018,0.004,0.01,0.004,0,0.002,0,0,0.006,0,0,0,0.004,0.018,0.02,0.014,0.022,0.006,0.012,0.068,0,0.014,0,0.014,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212636_168","piaf",2.1,2.3,8,0.27,"Tetvir, noise","","","","","5857d56d9ebce1000ed89ea7",0.02,0.002,0,0.004,0.01,0.012,0.002,0,0,0,0,0,0.002,0.006,0.002,0.002,0,0.032,0.006,0.002,0.014,0,0.006,0.016,0.046,0.008,0,0.002,0,0,0,0.002,0,0.014,0.002,0.004,0,0.006,0.004,0.004,0,0,0.008,0.004,0.002,0.014,0,0.006,0.03,0.084,0,0.006,0.01,0,0.008,0.022,0.05,0.032,0.166,0.02,0.004,0.004,0.018,0.034,0.006,0.002,0,0.004,0.002,0.004,0.01,0.004,0,0.002,0.002,0.004,0,0.002,0,0,0.002,0.044,0.008,0.01,0.02,0.006,0.068,0.002,0.018,0,0.024,0,0,0.004,"piaf"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212646_168","piaf",1.6,1.7,8,0.764,"","","","","","5857d56d9ebce1000ed89ea7",0.008,0.002,0,0,0.008,0.004,0.002,0,0,0,0,0,0,0.002,0.002,0,0,0.01,0.002,0,0.01,0,0.016,0.01,0.05,0,0,0,0,0,0,0.002,0,0.008,0,0.004,0,0.004,0.002,0.002,0,0,0.004,0.002,0.002,0.008,0,0.002,0.016,0.06,0,0,0.004,0,0,0.006,0.024,0.014,0.566,0.004,0.002,0,0.016,0.016,0.002,0,0,0,0,0,0.01,0,0,0,0,0.002,0,0.004,0,0,0.002,0.018,0.004,0.002,0.018,0.004,0.026,0.002,0.004,0,0.008,0,0,0,"piaf"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_212651_168","piaf",4.3,4.9,8,0.858,"","","","","","5857d56d9ebce1000ed89ea7",0.008,0.002,0,0,0.008,0.004,0.002,0,0,0,0,0,0,0.002,0.002,0,0,0.01,0.002,0,0.01,0,0.016,0.01,0.05,0,0.002,0,0,0,0,0.002,0,0.008,0,0.004,0,0.004,0.002,0.002,0,0,0.004,0.002,0.002,0.008,0,0.002,0.014,0.056,0,0,0.004,0,0,0.006,0.024,0.014,0.564,0.004,0.002,0,0.018,0.016,0.002,0,0,0,0,0,0.01,0,0,0,0,0.002,0,0.008,0,0,0.002,0.018,0.004,0.002,0.018,0.004,0.026,0.002,0.004,0,0.008,0,0,0,"piaf"
