"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213343_883"	"noise"	0	0.1	72	0.568	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0	0.004	0	0	0	0	0.012	0	0	0	0.004	0.004	0	0.004	0	0.006	0.006	0.004	0	0.004	0.002	0.012	0	0	0	0	0	0	0	0.002	0.024	0.032	0	0.002	0	0	0.008	0.004	0.028	0	0.002	0.004	0	0.012	0.062	0	0.008	0.014	0.342	0	0.002	0.004	0	0.002	0.006	0.004	0.048	0.016	0.044	0.014	0.036	0.03	0	0	0	0.002	0	0.006	0.012	0	0	0.004	0	0	0	0.01	0.004	0.012	0.016	0.02	0.004	0.004	0.018	0.002	0	0.06	0	0	0	0.004	0	0	0.008	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213449_905"	"noise"	0	0.1	50	0.554	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0	0.002	0	0	0	0	0.012	0	0	0	0.002	0.004	0	0.006	0	0.008	0.006	0.002	0	0.004	0.002	0.012	0	0	0	0	0	0	0	0.002	0.018	0.034	0	0.002	0	0	0.004	0.006	0.026	0	0.002	0.01	0	0.016	0.048	0.002	0.012	0.016	0.332	0	0.002	0.004	0.002	0.002	0.004	0.004	0.054	0.018	0.048	0.014	0.046	0.028	0	0	0	0.002	0	0.004	0.012	0.002	0	0.004	0	0	0	0.008	0	0.008	0.018	0.016	0.004	0.004	0.02	0.004	0	0.062	0	0	0	0.004	0	0	0.01	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213453_519"	"noise"	1	3.1	24	0.646	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.012	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.01	0.002	0	0	0	0.008	0.014	0.004	0.006	0	0.016	0.01	0	0	0	0.002	0	0	0	0.006	0.006	0.046	0	0	0	0.002	0.002	0.002	0.002	0	0.002	0	0	0.01	0.004	0.002	0.004	0.014	0.306	0	0.006	0.016	0	0.01	0.012	0.012	0.096	0.04	0.038	0.006	0.04	0.018	0	0.006	0	0.012	0.004	0.002	0.004	0.008	0	0	0	0	0	0.002	0	0.002	0.018	0.012	0.01	0.01	0.022	0.002	0	0.084	0	0.006	0	0	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213504_199"	"noise"	0	5	46	0.876	"Testes"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0	0.002	0	0	0	0	0.008	0	0	0	0.012	0.002	0	0.004	0	0.002	0.01	0	0	0.01	0.006	0.012	0	0	0	0	0.002	0	0	0	0.014	0.054	0	0	0	0	0.01	0.016	0.018	0	0.002	0.006	0	0.024	0.038	0.008	0.012	0.022	0.28	0	0.002	0.004	0.002	0	0.006	0.004	0.056	0.012	0.046	0.018	0.05	0.024	0	0	0	0.002	0	0.004	0.008	0.002	0	0.002	0	0	0	0.008	0.002	0.018	0.008	0.016	0.01	0.008	0.022	0.01	0	0.07	0	0	0	0.002	0	0	0.008	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213509_199"	"noise"	0	5	12	0.86	"piaf, Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0	0	0.004	0.02	0.002	0.006	0	0.02	0.006	0	0	0	0.002	0	0	0	0.002	0.004	0.04	0.002	0.006	0	0	0.004	0.002	0	0	0.002	0	0	0.002	0	0.002	0.002	0.008	0.302	0.002	0.004	0.022	0	0	0.02	0.016	0.09	0.064	0.026	0.01	0.018	0.01	0	0.002	0	0.012	0.002	0.002	0.004	0	0	0	0	0	0	0	0	0	0.016	0.014	0.006	0.044	0.028	0.008	0	0.1	0	0.002	0	0	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213514_199"	"noise"	0	5	28	0.884	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.018	0.002	0	0	0	0.004	0	0	0	0	0	0	0	0.002	0.022	0.002	0	0	0	0.002	0.016	0.008	0.008	0	0.018	0.008	0	0	0	0.002	0.004	0	0	0.004	0.006	0.062	0	0.002	0	0.002	0.004	0.002	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.01	0.296	0	0.002	0.016	0	0	0.018	0.01	0.086	0.028	0.046	0.014	0.032	0.014	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.01	0.024	0.008	0.016	0.038	0.004	0	0.07	0	0.002	0	0.002	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213519_199"	"noise"	0	5	32	0.826	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.024	0.002	0	0	0	0	0.014	0.008	0.006	0	0.018	0.008	0	0	0	0.004	0.004	0	0	0.004	0.006	0.064	0	0.002	0	0	0.004	0.004	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.292	0	0.004	0.014	0	0	0.018	0.012	0.082	0.026	0.048	0.014	0.032	0.016	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.01	0.016	0.008	0.016	0.04	0.004	0	0.074	0	0.002	0	0.004	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213524_199"	"noise"	0	4.4	41	0.91	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0	0	0	0	0.002	0	0	0	0	0.006	0	0	0.002	0.002	0.002	0	0.004	0	0.004	0.01	0.004	0	0.006	0.012	0.014	0	0	0	0.004	0.002	0	0	0.002	0.016	0.062	0	0	0	0	0.004	0.012	0.012	0	0.002	0.004	0.002	0.016	0.032	0.008	0.014	0.016	0.27	0	0.002	0.006	0	0	0.01	0.004	0.056	0.014	0.044	0.018	0.048	0.02	0	0.004	0	0.004	0	0.004	0.006	0.004	0	0	0	0	0	0.006	0.002	0.012	0.01	0.022	0.01	0.004	0.034	0.01	0	0.08	0	0	0	0.004	0	0	0.008	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213529_199"	"noise"	0.2	5	32	0.86	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.022	0.002	0	0	0	0	0.014	0.008	0.006	0	0.018	0.01	0	0	0	0.004	0.004	0	0	0.004	0.006	0.066	0	0.002	0	0	0.002	0.002	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.292	0	0.004	0.014	0	0	0.016	0.012	0.084	0.028	0.05	0.014	0.034	0.014	0	0.004	0	0.012	0.004	0.002	0.004	0.002	0	0	0	0	0	0	0	0.002	0.01	0.016	0.008	0.012	0.042	0.004	0	0.078	0	0	0	0.002	0	0	0.002	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213534_199"	"noise"	0	5	41	0.822	"Testes"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0	0	0	0	0.002	0	0	0	0	0.006	0	0	0.002	0.01	0.002	0	0.004	0	0.004	0.012	0.004	0	0.006	0.012	0.012	0	0	0	0.004	0.002	0	0	0.002	0.014	0.06	0	0	0	0.002	0.006	0.01	0.012	0	0.002	0.004	0.002	0.02	0.032	0.008	0.012	0.014	0.264	0	0.004	0.004	0	0	0.012	0.004	0.066	0.014	0.044	0.02	0.044	0.018	0	0.004	0	0.004	0	0.004	0.006	0.004	0	0	0	0	0	0.006	0.002	0.012	0.01	0.014	0.008	0.006	0.03	0.01	0	0.082	0	0	0	0.006	0	0	0.008	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213539_199"	"noise"	0	5	33	0.832	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.02	0.002	0	0.002	0	0.002	0.014	0.01	0.006	0	0.018	0.008	0	0	0	0.006	0.004	0	0	0.004	0.006	0.06	0	0.002	0	0.002	0.004	0.006	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.292	0	0.004	0.01	0	0	0.018	0.012	0.082	0.024	0.048	0.016	0.032	0.016	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.008	0.016	0.008	0.016	0.038	0.006	0	0.074	0	0.002	0	0.004	0	0	0.006	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213544_199"	"noise"	0	5	25	0.876	"Tetvir, Phogri"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.014	0.004	0	0	0	0.002	0.002	0	0	0	0	0	0	0	0.018	0.002	0	0	0	0.004	0.018	0.004	0.008	0	0.012	0.012	0	0	0	0.002	0.002	0	0	0.002	0.006	0.054	0	0.002	0	0	0.004	0	0.002	0	0.002	0	0.002	0.008	0.002	0.002	0.002	0.014	0.296	0	0.002	0.016	0	0	0.022	0.012	0.098	0.032	0.038	0.012	0.032	0.014	0	0.006	0	0.012	0.004	0.004	0.004	0	0	0	0.002	0	0	0	0	0.002	0.016	0.024	0.01	0.02	0.03	0.004	0	0.07	0	0.006	0	0.002	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213549_199"	"noise"	0	5	31	0.822	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.002	0	0	0	0	0	0.002	0.024	0.002	0	0	0	0.002	0.014	0.008	0.008	0	0.018	0.008	0	0	0	0.004	0.004	0	0	0.004	0.006	0.066	0	0.002	0	0	0.004	0.004	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.294	0	0.004	0.014	0	0	0.018	0.01	0.082	0.026	0.048	0.014	0.032	0.016	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.012	0.014	0.008	0.016	0.038	0.004	0	0.074	0	0.002	0	0.002	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213554_199"	"Tetvir"	0	0.5	14	0.532	"noise, Confus"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0	0	0.006	0.004	0	0	0	0	0.002	0	0	0	0	0.006	0	0.002	0	0.002	0.012	0.006	0	0.006	0.012	0.008	0	0	0	0	0	0	0	0	0	0	0.018	0.012	0.008	0	0.002	0.002	0.01	0	0	0	0.002	0	0.002	0	0	0.002	0.004	0.098	0.004	0	0.008	0	0.008	0.008	0.03	0.062	0.13	0.006	0	0.026	0.002	0.002	0.004	0	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0.016	0.006	0.006	0.014	0.02	0.018	0	0.376	0	0	0	0.012	0	0	0	0	"Tetvir"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213554_199"	"noise"	0.1	0.2	40	0.46	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0	0	0	0	0.002	0	0	0	0	0.008	0	0	0	0.002	0.002	0	0.008	0	0.01	0.008	0.004	0	0.004	0.008	0.018	0	0	0	0.008	0.002	0	0	0.004	0.016	0.054	0	0	0	0	0.002	0.008	0.008	0	0.002	0.008	0	0.012	0.032	0.004	0.016	0.01	0.302	0.002	0.002	0.006	0	0.004	0.006	0.002	0.054	0.018	0.046	0.014	0.046	0.018	0	0.002	0	0	0	0.004	0.008	0.004	0	0.002	0	0	0	0.006	0	0.008	0.014	0.018	0.006	0.004	0.038	0.004	0	0.07	0	0.002	0	0.01	0	0	0.012	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213555_929"	"noise"	0	5	32	0.906	"Tetvir, Testes"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.02	0.002	0	0	0	0	0.016	0.008	0.006	0	0.018	0.012	0	0	0	0.004	0.004	0	0	0.004	0.006	0.066	0	0.002	0	0	0.004	0.002	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.28	0	0.002	0.014	0	0	0.018	0.012	0.078	0.026	0.046	0.014	0.034	0.016	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.008	0.024	0.008	0.016	0.046	0.004	0	0.078	0	0.002	0	0.004	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213600_929"	"noise"	0	5	34	0.892	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0.002	0	0	0.002	0.016	0.002	0	0.002	0	0.002	0.016	0.008	0.006	0	0.016	0.016	0	0	0	0.006	0.002	0	0	0.002	0.006	0.064	0	0	0	0.002	0.004	0.006	0.002	0	0.002	0	0.002	0.01	0.008	0.002	0.002	0.012	0.278	0.002	0.002	0.01	0	0	0.018	0.012	0.082	0.024	0.046	0.016	0.032	0.016	0	0.004	0	0.012	0.002	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.006	0.022	0.008	0.016	0.042	0.006	0	0.078	0	0.002	0	0.004	0	0	0.006	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213605_929"	"noise"	0	2	33	0.824	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.002	0	0	0	0	0	0.002	0.018	0.002	0	0.002	0	0.002	0.012	0.01	0.006	0	0.02	0.012	0	0	0	0.006	0.004	0	0	0.004	0.008	0.058	0	0	0	0	0.002	0.006	0.002	0	0.002	0	0.002	0.01	0.006	0.002	0.004	0.012	0.31	0	0.004	0.01	0	0.004	0.012	0.012	0.076	0.03	0.05	0.01	0.038	0.016	0	0.006	0	0.012	0.004	0.002	0.004	0.002	0	0	0	0	0	0	0	0.002	0.01	0.018	0.008	0.008	0.034	0.004	0	0.07	0	0	0	0.002	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213612_827"	"noise"	0	4.3	30	0.874	"Phanan, Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.018	0.002	0	0	0	0.004	0	0	0	0	0	0	0	0.002	0.022	0.002	0	0	0	0.002	0.014	0.008	0.008	0	0.018	0.01	0	0	0	0.004	0.004	0	0	0.004	0.006	0.062	0	0.002	0	0	0.002	0.002	0.002	0	0.002	0	0.002	0.008	0.004	0.002	0.002	0.012	0.3	0	0.004	0.016	0	0	0.016	0.01	0.08	0.028	0.048	0.012	0.04	0.014	0	0.004	0	0.012	0.004	0.002	0.004	0.002	0	0	0	0	0	0	0	0.002	0.012	0.014	0.008	0.012	0.044	0.004	0	0.076	0	0	0	0	0	0	0.002	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213617_295"	"noise"	0	5	27	0.918	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.022	0.002	0	0	0	0.004	0.002	0	0	0	0	0	0	0.002	0.016	0.002	0	0	0	0.002	0.014	0.008	0.008	0	0.018	0.008	0	0	0	0.002	0.004	0	0	0.004	0.006	0.066	0	0.002	0	0	0.004	0.002	0.002	0	0.002	0	0.002	0.008	0.004	0.002	0.002	0.012	0.276	0	0.002	0.016	0	0	0.02	0.01	0.082	0.03	0.042	0.014	0.036	0.014	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.012	0.032	0.008	0.016	0.04	0.004	0	0.078	0	0.002	0	0.002	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213622_295"	"noise"	0	5	32	0.912	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.016	0.002	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.02	0.002	0	0	0	0	0.016	0.008	0.006	0	0.018	0.01	0	0	0	0.004	0.004	0	0	0.004	0.006	0.068	0	0.002	0	0	0.004	0.002	0.002	0	0.002	0	0.002	0.01	0.004	0.002	0.002	0.012	0.276	0	0.002	0.014	0	0	0.018	0.012	0.078	0.026	0.046	0.014	0.034	0.016	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.008	0.028	0.008	0.016	0.046	0.004	0	0.078	0	0.002	0	0.004	0	0	0.004	0	"noise"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213627_295"	"noise"	0	5	27	0.846	"Tetvir, Phanan"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.022	0.002	0	0	0	0.004	0.002	0	0	0	0	0	0	0.002	0.02	0.002	0	0	0	0.002	0.016	0.008	0.008	0	0.018	0.006	0	0	0	0.002	0.004	0	0	0.004	0.006	0.058	0	0.002	0	0	0.004	0.002	0.002	0	0.002	0	0.002	0.008	0.004	0.002	0.002	0.012	0.298	0	0.004	0.016	0	0	0.022	0.01	0.084	0.03	0.044	0.014	0.034	0.014	0	0.004	0	0.012	0.004	0.002	0.004	0	0	0	0	0	0	0	0	0.002	0.014	0.018	0.008	0.016	0.034	0.004	0	0.072	0	0.002	0	0.002	0	0	0.004	0	"noise"
