"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00000_000"	"noise"	0	0.5	204	0.734	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0.002	0	0.06	0	0	0	0	0.004	0	0.012	0.002	0	0.008	0	0	0.014	0	0	0.002	0.484	0	0	0.018	0	0.002	0.012	0.006	0.084	0.02	0.016	0.012	0.092	0.022	0	0	0	0.002	0	0.004	0.004	0.002	0	0	0	0	0.004	0	0	0.008	0.002	0.028	0.002	0.008	0.004	0	0	0.036	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00005_000"	"noise"	0	0.5	204	0.522	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0.044	0	0	0	0	0.004	0	0.012	0.002	0	0.008	0	0.002	0.014	0	0.002	0.002	0.5	0	0	0.02	0	0.004	0.01	0.006	0.098	0.022	0.01	0.012	0.076	0.022	0	0	0	0.002	0	0.004	0.002	0.002	0	0.002	0	0	0.004	0.002	0	0.006	0.002	0.03	0	0.008	0.004	0	0	0.036	0	0	0	0.008	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00010_000"	"noise"	0	0.5	161	0.548	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.006	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0.04	0	0	0	0	0.004	0	0.012	0.002	0	0.008	0	0.002	0.014	0	0	0.002	0.514	0	0	0.018	0	0.006	0.01	0.006	0.092	0.022	0.008	0.012	0.076	0.024	0	0	0	0.002	0	0.004	0	0.002	0	0.002	0	0	0.004	0.002	0	0.004	0.002	0.03	0	0.008	0.006	0	0	0.034	0	0	0	0.008	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00015_000"	"noise"	0	0.5	26	0.586	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.01	0.004	0	0.004	0	0.002	0.01	0	0	0	0	0	0	0	0.006	0	0.07	0	0	0	0.002	0	0	0.002	0	0	0	0	0.002	0.002	0	0.002	0	0.434	0	0.008	0.01	0	0.03	0.028	0.004	0.108	0.036	0.006	0.006	0.058	0.018	0	0.002	0	0.006	0	0	0.002	0	0	0	0	0	0	0	0	0	0.012	0.03	0.008	0.004	0.01	0	0	0.046	0	0.002	0	0.004	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00020_000"	"noise"	0	0.5	26	0.64	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.012	0.004	0	0.006	0	0.002	0.01	0	0	0	0	0	0	0	0.006	0	0.068	0	0	0	0.002	0	0	0.002	0	0	0	0	0.002	0.002	0	0.002	0	0.444	0	0.008	0.008	0	0.024	0.028	0.004	0.106	0.036	0.006	0.006	0.056	0.018	0	0.002	0	0.006	0	0	0	0.002	0	0	0	0	0	0	0	0	0.012	0.028	0.008	0.004	0.012	0	0	0.048	0	0	0	0.004	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00025_000"	"noise"	0	0.5	204	0.752	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0.062	0	0	0	0	0.004	0	0.01	0.002	0	0.008	0	0	0.014	0	0	0.002	0.482	0	0	0.018	0	0.002	0.014	0.006	0.09	0.02	0.016	0.012	0.086	0.022	0	0	0	0.002	0	0.004	0.006	0.002	0	0	0	0	0.004	0	0	0.006	0.002	0.028	0.002	0.008	0.004	0	0	0.034	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00030_000"	"noise"	0	0.5	204	0.744	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0.062	0	0	0	0	0.004	0	0.01	0.002	0	0.008	0	0	0.014	0	0	0.002	0.484	0	0	0.018	0	0.002	0.012	0.006	0.082	0.02	0.016	0.012	0.092	0.022	0	0	0	0.002	0	0.004	0.006	0.002	0	0	0	0	0.004	0	0	0.006	0.002	0.028	0.002	0.008	0.004	0	0	0.036	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00035_000"	"noise"	0	0.5	29	0.732	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.02	0.002	0	0.002	0	0.002	0.01	0	0	0	0	0	0	0	0.008	0	0.088	0	0	0	0.004	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0.452	0	0.008	0.004	0	0.01	0.032	0.004	0.09	0.032	0.012	0.006	0.062	0.016	0	0.002	0	0.006	0	0	0	0.004	0	0	0	0	0	0	0	0	0.008	0.026	0.008	0.004	0.01	0	0	0.05	0	0	0	0.002	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00040_000"	"noise"	0	0.3	30	0.76	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.024	0.002	0	0.002	0	0.002	0.014	0	0	0	0	0	0	0	0.008	0	0.09	0	0	0	0.006	0	0	0.002	0	0	0	0	0.002	0.002	0	0	0	0.43	0	0.008	0.004	0	0.006	0.032	0.004	0.092	0.032	0.016	0.006	0.054	0.016	0	0.002	0	0.006	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0.012	0.018	0.01	0.004	0.014	0	0	0.06	0	0	0	0.002	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00045_000"	"noise"	0.2	0.3	181	0.55	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0.002	0	0.038	0	0	0	0	0.004	0	0.012	0.002	0	0.008	0	0.004	0.014	0	0	0.002	0.53	0	0	0.016	0	0.006	0.008	0.006	0.086	0.022	0.01	0.01	0.066	0.024	0	0	0	0.002	0	0.006	0.002	0.002	0	0.002	0	0	0.004	0.002	0	0.004	0.004	0.026	0	0.008	0.004	0	0	0.036	0	0	0	0.008	0	0	0.004	0	"noise"
