"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_192406_639"	0.5	0.6	12	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_192412_440"	0.6	0.7	13	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194430_733"	0.5	0.6	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194435_545"	0	0.9	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194438_851"	0.3	0.9	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194441_299"	0.7	0.8	9	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194446_299"	4.5	5	12	"piaf"	0.98	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194451_299"	0	0.1	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194501_727"	1	2.6	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194506_727"	3.1	4.1	19	"piaf"	0.98	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194522_000"	3.9	4.1	9	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194527_000"	0	0.1	7	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194535_466"	1.3	1.5	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194540_466"	3.3	5	20	"piaf"	0.49	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194545_466"	0.5	4.6	20	"piaf"	0.33	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194550_466"	1.4	2.9	22	"piaf"	0.28	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194555_466"	1.9	4.5	19	"piaf"	0.26	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194600_466"	0.2	3.7	21	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194605_466"	0.7	2.7	18	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194615_455"	0.7	5	21	"piaf"	0.43	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194620_455"	0.7	0.9	32	"noise"	0.46	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194620_455"	0.3	1.2	12	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194625_455"	3.2	3.3	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194642_229"	3.1	4.8	23	"piaf"	0.18	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194647_229"	1.2	4.6	21	"piaf"	0.98	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194652_229"	1.2	1.3	8	"piaf"	0.35	"noise"	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194700_001"	1.5	2.1	19	"noise"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194712_468"	0	0.2	9	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190316_194722_865"	0	2.3	8	"piaf"	0.99	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
