"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass1-Tron1-Chiro_0_00000_000"	0	0.5	126	"noise"	0.81	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00005_000"	0	0.5	117	"noise"	0.97	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00010_000"	0.1	0.2	53	"Tetvir"	0.02	"Pippip, Pipkuh, Phogri, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00010_000"	0	0.5	110	"noise"	0.86	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00015_000"	0.1	0.5	108	"noise"	0.96	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00015_000"	0.2	0.3	46	"Pippip"	0.07	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00020_000"	0	0.5	216	"noise"	0.98	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00025_000"	0	0.5	205	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00030_000"	0	0.5	118	"noise"	0.81	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00035_000"	0	0.5	206	"noise"	0.85	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00040_000"	0	0.5	128	"noise"	0.95	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00040_000"	0	0.1	15	"Tetvir"	0.08	"Phogri"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00045_000"	0.2	0.3	64	"Myomys"	0.05	"Pippip, Myoema"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00045_000"	0	0.5	117	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00050_000"	0	0.5	112	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00050_000"	0.4	0.5	19	"Tetvir"	0.02	"Plaint, Phogri, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00055_000"	0.2	0.5	68	"noise"	0.66	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00055_000"	0	0.5	132	"Rhihip"	0.17	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00060_000"	0	0.5	163	"noise"	0.89	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00065_000"	0	0.5	102	"noise"	0.91	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00065_000"	0.1	0.5	24	"Tetvir"	0.02	"Pippip, Phogri, Phanan, Leppun, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, Pipkuh, piaf, Phofem, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00070_000"	0	0.5	96	"noise"	0.86	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00070_000"	0.1	0.2	39	"Pipkuh"	0.07	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00075_000"	0	0.5	112	"noise"	0.96	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00080_000"	0	0.5	128	"noise"	0.77	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00085_000"	0	0.5	111	"noise"	0.83	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00090_000"	0	0.5	203	"noise"	0.59	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00095_000"	0	0.5	188	"noise"	0.92	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00095_000"	0.3	0.4	45	"Pippip"	0.18	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00100_000"	0	0.5	107	"noise"	0.84	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00105_000"	0	0.5	165	"noise"	0.84	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00105_000"	0.3	0.4	47	"Yerray"	0.04	"Tetvir, Pippip, Phogri"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00110_000"	0	0.5	125	"noise"	0.76	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00115_000"	0	0.5	97	"noise"	0.87	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00115_000"	0.1	0.2	12	"Phogri"	0.15	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00120_000"	0.3	0.5	32	"Hypsav"	0.1	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00120_000"	0	0.5	113	"noise"	0.9	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00125_000"	0	0.2	31	"Hypsav"	0.1	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00125_000"	0.1	0.5	154	"noise"	0.91	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00130_000"	0	0.1	33	"Pipkuh"	0.03	"Hypsav, Pippip"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00130_000"	0	0.5	190	"noise"	0.9	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00135_000"	0	0.5	103	"noise"	0.79	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00135_000"	0.4	0.5	47	"Pippip"	0.18	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00140_000"	0	0.1	36	"Leppun"	0.04	"Tetvir, Pippip, Pipkuh"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00140_000"	0	0.5	90	"noise"	0.95	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00145_000"	0.1	0.5	130	"noise"	0.91	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00150_000"	0	0.5	109	"noise"	0.95	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00155_000"	0	0.5	128	"noise"	0.98	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00160_000"	0	0.5	105	"noise"	0.96	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00165_000"	0	0.5	98	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00170_000"	0	0.5	96	"noise"	0.85	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00170_000"	0.1	0.2	45	"Yerray"	0.09	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00175_000"	0	0.5	72	"noise"	0.68	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00180_000"	0	0.5	92	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
