"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340098-2019-Pass1-Z31-013676_20190329_202231_706"	0	0.1	70	"noise"	0.11	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202231_706"	0	4.5	107	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202236_706"	0.9	1.5	108	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202238_538"	0.3	0.4	47	"noise"	0.8	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202238_538"	0	1.2	103	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202433_253"	0	0.3	46	"Pippip"	0.04	"noise, Pipkuh, Tetvir, Myomys, Myoema"	NA	NA	"Rhihip"	"SUR"	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202433_253"	0	5	111	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202438_253"	0	1.3	112	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202606_459"	0	0.9	110	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202710_440"	0	0.7	109	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202721_177"	0.1	0.2	47	"noise"	0.08	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202721_177"	0	2.3	112	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_202723_691"	0	2.1	112	"Rhihip"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
