"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203932_000"	3.4	4.9	11	"noise"	0.92	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.92	""	""	"15/06/2012"	1339785572	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203942_001"	4	4.1	10	"Tetvir"	0.08	"noise, Phofem, Phogri"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.08	""	""	"15/06/2012"	1339785582.001	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203947_002"	0.9	3.9	10	"noise"	0.9	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.9	""	""	"15/06/2012"	1339785587.002	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203952_002"	0.6	3.7	12	"noise"	0.89	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.89	""	""	"15/06/2012"	1339785592.002	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_203952_002"	2.1	2.2	30	"Tetvir"	0.02	"Phogri, Leppun, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.02	""	""	"15/06/2012"	1339785592.002	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204007_004"	2.5	2.8	10	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339785607.004	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204012_005"	1.3	4.8	16	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785612.005	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204017_006"	0.1	5	12	"noise"	0.94	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.94	""	""	"15/06/2012"	1339785617.006	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204022_006"	0.4	4.1	35	"noise"	0.94	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.94	""	""	"15/06/2012"	1339785622.006	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204022_006"	0.2	4.5	12	"Tetvir"	0.52	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.52	""	""	"15/06/2012"	1339785622.006	"Tetvir"	0
