"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car340098-2019-Pass1-Z31-013676_20190329_202231_706"	0	4.5	107	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553883751.706	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202231_706"	0	0.1	70	"noise"	0.11	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.11	""	""	"29/03/2019"	1553883751.706	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_202236_706"	0.9	1.5	108	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553883756.706	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202238_538"	0	1.2	103	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553883758.538	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202238_538"	0.3	0.4	47	"noise"	0.8	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.8	""	""	"29/03/2019"	1553883758.538	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_202433_253"	0	0.3	46	"Pippip"	0.04	"noise, Pipkuh, Tetvir, Myomys, Myoema"	""	""	"Rhihip"	"SUR"	"5caba52defb48f000fcf28b1"	0.04	"Rhihip"	"SUR"	"29/03/2019"	1553883873.253	"Rhihip"	1
"Car340098-2019-Pass1-Z31-013676_20190329_202438_253"	0	1.3	112	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553883878.253	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202606_459"	0	0.9	110	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553883966.459	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202710_440"	0	0.7	109	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553884030.44	"Rhihip"	2
"Car340098-2019-Pass1-Z31-013676_20190329_202721_177"	0	2.3	112	"Rhihip"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553884041.177	"Rhihip"	2
