"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_000453_912"	"Aposyl"	0	4.2	12	0.326	"Tadten"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.012	0.002	0	0.412	0.002	0.002	0	0	0	0	0	0	0.002	0.01	0	0	0.002	0.004	0.002	0	0.004	0.002	0	0.002	0.004	0	0	0	0	0	0	0.002	0	0.012	0	0.004	0	0	0.056	0	0	0	0	0	0	0	0	0.008	0.008	0.044	0	0.01	0.004	0	0.002	0.014	0.038	0.07	0.048	0.012	0.002	0	0.014	0.002	0	0.008	0	0.018	0	0	0.008	0	0.002	0	0	0.002	0.004	0	0	0	0.016	0.002	0.016	0.028	0.022	0	0.046	0	0.004	0	0.01	0	0	0.002	"Aposyl"	0.412	""	""	"06/07/2015"	1436220293.912	"Aposyl"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_010149_245"	"Aposyl"	0.7	3.5	12	0.408	"noise, piaf"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0.002	0	0.436	0.002	0.002	0	0	0	0	0	0	0.002	0.01	0	0	0.002	0.004	0.002	0	0.004	0.002	0	0.002	0.004	0	0	0	0	0	0	0.004	0	0.012	0	0.002	0	0	0.04	0	0	0	0	0	0	0	0	0.008	0.008	0.046	0	0.01	0.004	0	0.002	0.014	0.04	0.07	0.048	0.012	0.002	0	0.014	0.002	0	0.008	0	0.016	0	0	0.008	0	0	0	0	0.002	0.004	0	0	0	0.016	0.002	0.016	0.026	0.022	0	0.046	0	0.002	0	0.01	0	0	0.002	"Aposyl"	0.436	""	""	"06/07/2015"	1436223709.245	"Aposyl"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_010213_352"	"Aposyl"	0	2	12	0.346	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.008	0.002	0	0.44	0.002	0.002	0	0	0	0	0	0	0.002	0.01	0	0	0.002	0.004	0.002	0	0.004	0.002	0	0.002	0.004	0	0	0	0	0	0	0.002	0	0.012	0	0.002	0	0	0.038	0	0	0	0	0	0	0	0	0.008	0.008	0.046	0	0.01	0.004	0	0.002	0.014	0.042	0.07	0.046	0.012	0.002	0	0.014	0.002	0	0.008	0	0.016	0	0	0.008	0	0	0	0	0.002	0.004	0	0	0	0.016	0.002	0.016	0.026	0.022	0	0.046	0	0.002	0	0.01	0	0	0.002	"Aposyl"	0.44	""	""	"06/07/2015"	1436223733.352	"Aposyl"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213343_883"	"noise"	0	0.1	72	0.568	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.012	0	0	0	0.002	0	0.002	0.002	0	0.002	0	0	0.008	0	0	0	0	0.002	0	0.012	0.008	0	0	0.004	0.002	0.002	0	0.012	0	0	0	0	0.006	0.048	0	0	0	0.006	0.018	0.016	0	0	0.01	0	0.006	0.058	0.002	0.044	0.032	0.234	0	0.008	0.012	0	0.002	0.006	0.006	0.064	0.014	0.042	0.018	0.006	0.036	0.008	0	0.006	0	0.004	0	0.006	0.01	0	0	0.004	0	0.002	0	0.012	0.006	0.014	0.012	0.018	0.004	0.004	0.014	0.006	0.074	0	0.004	0	0.01	0	0	0.018	"noise"	0.234	""	""	"06/07/2015"	1436211223.883	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213449_905"	"noise"	0	0.1	50	0.554	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.014	0	0	0.002	0	0	0.002	0	0	0.002	0	0	0.004	0	0	0	0	0.002	0	0.01	0.008	0	0	0.008	0.002	0.002	0	0.012	0	0	0	0	0.004	0.048	0	0	0	0.002	0.024	0.018	0	0	0.012	0	0.006	0.054	0.002	0.046	0.036	0.23	0	0.008	0.012	0	0.002	0.006	0.006	0.066	0.016	0.046	0.02	0.004	0.036	0.008	0	0.002	0	0.004	0	0.004	0.01	0	0	0.006	0	0.002	0	0.01	0.002	0.012	0.014	0.016	0.004	0.004	0.016	0.006	0.072	0	0.004	0	0.01	0	0	0.022	"noise"	0.23	""	""	"06/07/2015"	1436211289.905	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213453_519"	"noise"	1	3.1	24	0.646	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.038	0	0.002	0	0.002	0.002	0.004	0	0	0.002	0	0.002	0	0.006	0	0	0.008	0.004	0.008	0.012	0.008	0	0	0.002	0.01	0.008	0	0.008	0.002	0	0	0	0	0.054	0	0.002	0.006	0.002	0.002	0.002	0	0	0.002	0	0.006	0.01	0.002	0.018	0.006	0.236	0	0.014	0.01	0	0.014	0.012	0.012	0.144	0.034	0.018	0.002	0.002	0.024	0.008	0.006	0.004	0	0.016	0	0	0.002	0	0	0	0	0.002	0	0.002	0	0.008	0.032	0.016	0.016	0.004	0.012	0	0.066	0	0.018	0	0.018	0	0	0.008	"noise"	0.236	""	""	"06/07/2015"	1436211293.519	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213504_199"	"noise"	0	5	46	0.876	"Testes"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.014	0	0	0.002	0.002	0	0.002	0	0	0.002	0	0	0.008	0	0	0	0	0.004	0	0.01	0.01	0	0	0.01	0.002	0.002	0	0.012	0	0	0	0.002	0	0.05	0	0	0	0.002	0.024	0.022	0	0	0.008	0	0.006	0.04	0.002	0.042	0.034	0.21	0	0.008	0.008	0	0	0.006	0.006	0.064	0.014	0.038	0.02	0.006	0.04	0.01	0	0.002	0	0.006	0	0.004	0.008	0	0	0.004	0	0.002	0	0.01	0.008	0.022	0.014	0.022	0.004	0.004	0.028	0.012	0.076	0	0.002	0	0.01	0	0	0.02	"noise"	0.21	""	""	"06/07/2015"	1436211304.199	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213509_199"	"noise"	0	5	12	0.86	"piaf, Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.054	0	0.004	0.002	0.002	0.002	0.004	0	0	0.002	0	0.002	0.002	0.006	0	0	0.004	0.01	0.008	0.002	0.008	0	0	0.002	0.014	0.004	0	0.006	0.002	0	0	0.002	0	0.056	0.002	0.014	0.002	0	0.002	0.002	0	0	0	0	0.002	0.008	0.002	0.016	0.006	0.218	0	0.012	0.008	0	0.004	0.012	0.02	0.126	0.044	0.014	0.002	0.006	0.02	0.008	0.004	0.004	0	0.012	0	0	0	0	0	0	0	0	0	0.002	0	0.008	0.032	0.022	0.014	0.02	0.016	0.004	0.082	0	0.008	0	0.016	0	0	0.008	"noise"	0.218	""	""	"06/07/2015"	1436211309.199	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213514_199"	"noise"	0	5	28	0.884	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.036	0	0.002	0	0.002	0.004	0.004	0	0	0.002	0	0.004	0.006	0.006	0	0	0.006	0.006	0.006	0.014	0.01	0	0	0.002	0.01	0.004	0	0.008	0.002	0	0	0.002	0	0.056	0	0.006	0.006	0.002	0.002	0.004	0	0	0.002	0	0.002	0.01	0.004	0.018	0.006	0.216	0	0.012	0.012	0	0.008	0.012	0.016	0.12	0.032	0.016	0.002	0.002	0.028	0.008	0.006	0.004	0	0.012	0	0	0.002	0	0	0	0	0.002	0	0.002	0.002	0.008	0.036	0.026	0.016	0.006	0.026	0.002	0.07	0	0.012	0	0.018	0	0	0.012	"noise"	0.216	""	""	"06/07/2015"	1436211314.199	"noise"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150706_213519_199"	"noise"	0	5	32	0.826	"Tetvir"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.03	0	0.002	0	0.002	0.004	0.004	0	0	0.002	0	0.004	0.004	0.004	0	0	0.004	0.006	0.002	0.016	0.008	0	0	0.002	0.008	0.004	0	0.01	0.002	0	0	0.004	0	0.06	0	0.004	0.004	0.002	0.002	0.006	0	0	0	0	0.004	0.012	0.004	0.02	0.01	0.21	0	0.01	0.014	0	0.006	0.01	0.012	0.11	0.03	0.02	0.006	0.004	0.026	0.01	0.006	0.004	0	0.01	0	0.002	0	0	0	0	0	0.002	0	0.004	0.006	0.008	0.032	0.02	0.016	0.006	0.038	0.002	0.078	0	0.014	0	0.016	0	0	0.018	"noise"	0.21	""	""	"06/07/2015"	1436211319.199	"noise"	0
