"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"21"	"22"	"23"	"00"	"01"	"02"	"03"	"04"	"05"	"06"
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"11"	3	0	24	13	8	21	108	154	8	153	0
"Pippyg"	"Chauve-souris"	"Pipistrelle soprane"	"Pipistrellus pygmaeus"	"99"	3	0	0	0	0	0	0	1	0	0	0
"Tadten"	"Chauve-souris"	"Molosse"	"Tadarida teniotis"	"66"	3	1	0	0	0	0	0	0	0	0	0
"Phogri"	"Sauterelle"	"Decticelle cendree"	"Pholidoptera griseoaptera"	"90"	2	1	0	0	1	0	1	0	0	0	0
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"50"	2	0	0	0	0	0	0	0	0	1	0
"Testes"	"Sauterelle"	"Decticelle carroyee"	"Tessellana tessellata"	"94"	2	0	0	0	0	0	1	1	0	4	0
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"54"	2	2	1	2	0	0	1	0	0	0	0
"Aposyl"	"Autre"	"Mulot sylvestre"	"Apodemus sylvaticus"	"57"	1	0	0	0	1	2	0	0	0	0	0
"noise"	"Autre"	"bruit"	"noise"	"60"	1	59	35	28	8	10	31	10	2	9	6
"piaf"	"Autre"	"Oiseau sp."	"Aves sp."	"9"	1	2	10	3	3	2	5	2	0	4	1
