"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"06"	"06/07/2015.y"
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"11"	3	489	3
"Pippyg"	"Chauve-souris"	"Pipistrelle soprane"	"Pipistrellus pygmaeus"	"99"	3	1	1
"Tadten"	"Chauve-souris"	"Molosse"	"Tadarida teniotis"	"66"	3	1	1
"Phogri"	"Sauterelle"	"Decticelle cendree"	"Pholidoptera griseoaptera"	"90"	2	3	2
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"50"	2	1	1
"Testes"	"Sauterelle"	"Decticelle carroyee"	"Tessellana tessellata"	"94"	2	6	2
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"54"	2	6	1
"Aposyl"	"Autre"	"Mulot sylvestre"	"Apodemus sylvaticus"	"57"	1	3	NA
"noise"	"Autre"	"bruit"	"noise"	"60"	1	198	1
"piaf"	"Autre"	"Oiseau sp."	"Aves sp."	"9"	1	32	2
