"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_201337_562"	"noise"	0	0.3	13	0.476	""	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.034	0.002	0	0.002	0.01	0.004	0.004	0	0	0	0	0	0.006	0.006	0.008	0.01	0.04	0.056	0.018	0.004	0.006	0	0	0.02	0.004	0.004	0.002	0.006	0	0	0	0.002	0.004	0.01	0.008	0	0.018	0	0.036	0.002	0.002	0	0.006	0.004	0	0.004	0	0.01	0.016	0.148	0.004	0.01	0.028	0	0	0.064	0.01	0.032	0.024	0.016	0.004	0.006	0.006	0.006	0.006	0.004	0	0.014	0	0.004	0.004	0	0	0.004	0	0.008	0	0.002	0	0.006	0.018	0.026	0.004	0.07	0.002	0.01	0.066	0.002	0.008	0	0.008	0	0	0.008	"noise"	0.148	""	""	"02/09/2016"	1472840017.562	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_201409_055"	"noise"	0	0.1	14	0.348	"Phogri"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.03	0.002	0	0.002	0.008	0.004	0.006	0	0	0	0	0	0.006	0.008	0.006	0.006	0.03	0.05	0.018	0.004	0.01	0	0	0.018	0.004	0.004	0.002	0.006	0	0	0	0.002	0.004	0.01	0.008	0	0.016	0	0.04	0.004	0.002	0	0.006	0.004	0.004	0.004	0	0.01	0.012	0.142	0.004	0.02	0.028	0	0	0.078	0.012	0.028	0.026	0.01	0.006	0.006	0.006	0.008	0.006	0.004	0	0.014	0	0.002	0.004	0	0	0.006	0	0.012	0	0.002	0	0.004	0.016	0.03	0.004	0.072	0.002	0.01	0.062	0.002	0.01	0	0.008	0	0	0.006	"noise"	0.142	""	""	"02/09/2016"	1472840049.055	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202133_563"	"noise"	0	2.9	20	0.536	""	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.018	0.002	0	0	0.008	0.006	0.004	0	0	0	0	0.002	0.008	0.008	0.006	0.014	0.05	0.022	0.016	0.008	0.01	0.002	0	0.006	0.002	0.006	0	0.004	0	0	0	0.002	0.01	0.008	0.006	0	0.03	0	0.036	0	0.002	0	0.018	0.004	0.006	0.006	0	0.01	0.012	0.108	0	0.012	0.034	0	0.002	0.078	0.01	0.034	0.016	0.014	0.006	0.004	0.012	0.008	0.008	0.004	0	0.022	0	0.002	0.004	0.004	0.002	0.002	0	0.008	0	0.002	0.002	0.004	0.018	0.016	0.006	0.082	0.004	0.01	0.074	0.002	0.018	0	0.004	0	0	0.012	"noise"	0.108	""	""	"02/09/2016"	1472840493.563	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202138_952"	"noise"	0	2.2	16	0.504	"Phogri, Sepsep"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.024	0.004	0	0	0.008	0.006	0.004	0	0	0	0	0.002	0.006	0.008	0.008	0.012	0.048	0.036	0.018	0.004	0.006	0	0	0.01	0.002	0.004	0.002	0.004	0	0	0	0.002	0.008	0.008	0.006	0	0.022	0	0.046	0.002	0.002	0	0.01	0.004	0	0.004	0	0.008	0.016	0.112	0.002	0.014	0.032	0	0	0.078	0.01	0.032	0.02	0.018	0.006	0.006	0.01	0.004	0.008	0.002	0	0.016	0	0.004	0.002	0.004	0	0.002	0	0.008	0	0	0.004	0.004	0.018	0.024	0.006	0.08	0.004	0.01	0.07	0.002	0.016	0	0.006	0	0	0.012	"noise"	0.112	""	""	"02/09/2016"	1472840498.952	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202230_026"	"noise"	0	0.9	18	0.338	""	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.022	0.004	0	0	0.01	0.004	0.006	0	0	0	0	0.002	0.006	0.006	0.006	0.01	0.032	0.028	0.02	0.006	0.01	0	0	0.006	0.002	0.004	0.002	0.004	0	0	0	0.002	0.004	0.012	0.006	0	0.022	0	0.046	0.004	0.002	0	0.006	0.004	0.004	0.004	0	0.012	0.014	0.112	0.002	0.026	0.036	0	0.002	0.09	0.012	0.032	0.018	0.012	0.008	0.006	0.012	0.012	0.006	0.004	0	0.02	0	0.002	0.002	0.002	0	0.004	0	0.012	0	0	0	0.004	0.018	0.022	0.006	0.076	0.004	0.01	0.068	0.002	0.012	0	0.004	0	0	0.01	"noise"	0.112	""	""	"02/09/2016"	1472840550.026	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202245_593"	"noise"	0	4.7	18	0.7	"Phogri"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.018	0.002	0	0	0.008	0.006	0.004	0	0	0	0	0.002	0.008	0.008	0.008	0.014	0.04	0.028	0.016	0.006	0.008	0	0	0.006	0.002	0.006	0	0.004	0	0	0	0	0.01	0.01	0.008	0	0.03	0.004	0.038	0	0.002	0	0.01	0.002	0.006	0.008	0	0.006	0.012	0.124	0	0.02	0.038	0	0.002	0.08	0.01	0.038	0.016	0.012	0.006	0.004	0.006	0.004	0.01	0.004	0	0.024	0	0.002	0.002	0.004	0.004	0.002	0	0.008	0	0	0	0.004	0.014	0.018	0.006	0.08	0.004	0.01	0.072	0	0.018	0	0.004	0	0	0.01	"noise"	0.124	""	""	"02/09/2016"	1472840565.593	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202250_593"	"noise"	0.1	4.7	16	0.578	"Phogri"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.022	0.002	0	0	0.008	0.006	0.004	0	0	0	0	0.002	0.008	0.008	0.008	0.012	0.042	0.036	0.016	0.004	0.01	0	0	0.01	0.002	0.006	0	0.004	0	0	0	0.002	0.01	0.008	0.006	0	0.024	0.002	0.044	0	0.002	0	0.012	0.002	0.004	0.006	0	0.006	0.012	0.12	0.002	0.012	0.032	0	0	0.08	0.01	0.038	0.02	0.012	0.006	0.004	0.008	0.002	0.008	0.002	0	0.018	0	0.002	0.002	0.004	0.004	0.002	0	0.008	0	0	0.002	0.004	0.014	0.02	0.006	0.084	0.004	0.01	0.078	0	0.016	0	0.006	0	0	0.01	"noise"	0.12	""	""	"02/09/2016"	1472840570.593	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202255_593"	"noise"	0	4.5	14	0.74	""	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.028	0.002	0	0.002	0.006	0.006	0.004	0	0	0	0	0.002	0.008	0.008	0.008	0.01	0.038	0.05	0.014	0.004	0.006	0	0	0.018	0.004	0.004	0	0.004	0	0	0	0.002	0.01	0.008	0.01	0	0.018	0.002	0.034	0	0.002	0	0.01	0.002	0.004	0.006	0	0.006	0.012	0.134	0.002	0.01	0.028	0	0	0.072	0.012	0.04	0.024	0.014	0.006	0.004	0.004	0.004	0.008	0.002	0	0.016	0	0.002	0.002	0.002	0.004	0.004	0	0.008	0	0.002	0	0.008	0.012	0.022	0.004	0.088	0.002	0.01	0.068	0	0.014	0	0.008	0	0	0.008	"noise"	0.134	""	""	"02/09/2016"	1472840575.593	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202300_593"	"noise"	0.6	1.8	18	0.454	"Phogri"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.02	0.004	0	0	0.012	0.004	0.004	0	0	0	0	0.002	0.006	0.006	0.006	0.014	0.044	0.03	0.018	0.006	0.006	0	0	0.006	0.002	0.004	0.002	0.006	0	0	0	0.002	0.006	0.012	0.006	0	0.028	0	0.044	0.002	0.002	0	0.006	0.004	0.002	0.004	0	0.01	0.018	0.128	0.002	0.018	0.038	0	0.002	0.078	0.012	0.032	0.014	0.014	0.004	0.006	0.01	0.008	0.006	0.004	0	0.02	0	0.002	0.004	0.002	0	0.002	0	0.008	0	0	0.002	0.004	0.02	0.022	0.006	0.072	0.004	0.01	0.07	0.002	0.012	0	0.004	0	0	0.01	"noise"	0.128	""	""	"02/09/2016"	1472840580.593	"noise"	0
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_202305_619"	"noise"	0	2.9	16	0.608	"Phogri"	""	""	""	""	"57cb11b1815ace000cc48b4e"	0.022	0.002	0	0	0.008	0.006	0.004	0	0	0	0	0.002	0.008	0.008	0.008	0.01	0.04	0.034	0.016	0.004	0.01	0	0	0.01	0.002	0.006	0	0.004	0	0	0	0.002	0.01	0.006	0.008	0	0.024	0	0.046	0	0.002	0	0.012	0.004	0.004	0.006	0	0.008	0.012	0.128	0.002	0.012	0.032	0	0	0.082	0.008	0.036	0.02	0.012	0.006	0.004	0.008	0.004	0.01	0.002	0	0.018	0	0.002	0.002	0.004	0.002	0.002	0	0.008	0	0	0	0.004	0.016	0.02	0.006	0.082	0.004	0.01	0.072	0	0.018	0	0.006	0	0	0.01	"noise"	0.128	""	""	"02/09/2016"	1472840585.619	"noise"	0
