"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir90-2007-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0	0.5	136	0.682	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.622	0	0	0.024	0	0.004	0.004	0.002	0.078	0.022	0.016	0.012	0.036	0.014	0	0	0	0	0	0.008	0.002	0.002	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.038	0	0	0	0.004	0	0	0.002	0	"noise"	0.622	0.966170691783961	""	""	1	800	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00004_998"	"noise"	0.2	0.5	131	0.688	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.014	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.002	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.618	0	0	0.022	0	0.004	0.002	0.002	0.08	0.022	0.018	0.012	0.036	0.014	0	0	0	0	0	0.014	0.002	0.002	0	0	0	0	0	0	0	0	0.002	0.01	0	0.002	0.006	0	0	0.034	0	0	0	0.004	0	0	0.002	0	"noise"	0.618	0.964753756704659	""	""	1	804.998	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00009_996"	"noise"	0.4	0.5	204	0.714	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.01	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0.004	0	0.004	0.002	0	0.006	0	0	0.002	0.002	0	0	0.618	0	0	0.02	0	0.004	0.004	0.002	0.076	0.024	0.018	0.008	0.05	0.014	0	0	0	0	0	0.01	0.004	0.002	0	0	0	0	0	0	0	0	0.002	0.008	0	0.002	0.006	0	0	0.04	0	0	0	0.004	0	0	0.002	0	"noise"	0.618	0.964753756704659	""	""	1	809.996	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00014_994"	"noise"	0	0.3	204	0.778	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.012	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0.004	0	0.002	0.002	0	0.004	0	0	0.002	0.002	0	0	0.612	0	0	0.018	0	0.002	0.008	0.002	0.082	0.02	0.016	0.006	0.03	0.014	0	0	0	0	0	0.008	0.012	0.002	0	0	0	0	0	0	0	0	0.004	0.01	0	0.006	0.006	0	0	0.036	0	0	0	0.004	0	0	0.002	0	"noise"	0.612	0.962520649187595	""	""	1	814.994	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00019_992"	"noise"	0	0.5	129	0.658	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.63	0	0.002	0.024	0	0.004	0.002	0.002	0.08	0.022	0.014	0.01	0.03	0.014	0	0	0	0	0	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.042	0	0	0	0.004	0	0	0.002	0	"noise"	0.63	0.968841413019741	""	""	1	819.992	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00024_990"	"noise"	0	0.5	131	0.668	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.624	0	0.002	0.024	0	0.004	0.002	0.002	0.082	0.022	0.016	0.01	0.03	0.014	0	0	0	0	0	0.008	0.002	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.042	0	0	0	0.004	0	0	0.002	0	"noise"	0.624	0.966858391765875	""	""	1	824.99	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00029_989"	"noise"	0	0.5	128	0.662	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.628	0	0.002	0.024	0	0.004	0.002	0.002	0.082	0.022	0.014	0.01	0.03	0.014	0	0	0	0	0	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.042	0	0	0	0.004	0	0	0.002	0	"noise"	0.628	0.96819350777571	""	""	1	829.989	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00034_987"	"noise"	0	0.5	123	0.664	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.63	0	0.002	0.022	0	0.004	0.002	0.002	0.084	0.022	0.016	0.01	0.03	0.014	0	0	0	0	0	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.042	0	0	0	0.004	0	0	0.002	0	"noise"	0.63	0.968841413019741	""	""	1	834.987	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00039_985"	"noise"	0.2	0.5	145	0.648	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.012	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0.002	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.626	0	0.002	0.022	0	0.004	0.004	0.002	0.082	0.022	0.016	0.01	0.028	0.014	0	0	0	0	0	0.014	0	0.004	0	0	0	0	0	0	0	0	0.002	0.01	0	0.002	0.008	0	0	0.034	0	0	0	0.004	0	0	0.002	0	"noise"	0.626	0.967532581605251	""	""	1	839.985	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00044_983"	"noise"	0	0.5	134	0.674	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.004	0	0.006	0.002	0	0.006	0	0	0.002	0.002	0	0	0.622	0	0.002	0.024	0	0.004	0.004	0.002	0.08	0.022	0.016	0.01	0.03	0.014	0	0	0	0	0	0.008	0.002	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.002	0.006	0	0	0.042	0	0	0	0.004	0	0	0.002	0	"noise"	0.622	0.966170691783961	""	""	1	844.983	"noise"	0
