"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir461-2014-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0.1	0.5	26	0.55	"Tetvir, Pippip"	""	""	""	""	"582ae419783121000fce8b4e"	0.012	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0	0.016	0	0	0.008	0	0.006	0	0.002	0	0.006	0.006	0.006	0	0.002	0	0	0.002	0	0	0.002	0.004	0.04	0	0.004	0	0.01	0.004	0.004	0.006	0	0	0.014	0	0.004	0	0	0.002	0	0.382	0.008	0.008	0.002	0	0	0.014	0.002	0.028	0	0.008	0.014	0.01	0.008	0.014	0.012	0	0.024	0.004	0.004	0	0.008	0.002	0.002	0.004	0	0.002	0.004	0	0	0.028	0.026	0.002	0.002	0.058	0.002	0	0.118	0.002	0.02	0	0.002	0	0	0.004	0	"noise"	0.382	0.69041721925467	""	""	1	800	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00015_000"	"noise"	0.2	0.5	25	0.648	""	""	""	""	""	"582ae419783121000fce8b4e"	0.014	0.002	0	0	0	0	0.008	0	0	0	0	0	0	0	0.022	0	0	0.006	0	0.004	0.002	0.002	0.002	0.004	0.006	0.006	0	0.004	0	0	0.002	0	0	0.002	0.004	0.03	0	0.004	0	0.008	0.004	0	0.004	0	0	0.016	0	0.004	0	0	0.002	0	0.416	0.008	0.008	0.002	0	0.002	0.014	0	0.032	0	0.004	0.01	0.012	0.002	0.014	0.014	0	0.02	0.004	0.002	0	0.006	0.002	0	0.004	0	0	0.004	0	0	0.026	0.024	0.002	0.002	0.046	0	0	0.124	0.004	0.022	0	0.004	0	0	0.004	0	"noise"	0.416	0.761934074397354	""	""	1	815	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00015_000"	"Confus"	0.3	0.5	25	0.232	"Plaalb"	""	""	""	""	"582ae419783121000fce8b4e"	0	0.004	0	0	0.004	0.006	0.018	0	0	0.002	0.002	0.004	0	0.012	0.152	0	0	0.008	0.014	0.008	0.002	0	0.036	0.002	0	0.002	0.004	0	0	0	0	0	0	0.022	0	0.006	0.004	0	0.002	0.004	0	0.004	0	0	0	0	0	0	0.002	0.012	0.004	0.004	0.012	0	0.01	0.002	0	0	0.01	0	0.03	0.002	0.014	0.01	0.016	0.004	0.026	0.178	0.002	0.02	0.01	0.008	0.016	0	0.004	0.002	0	0.006	0.002	0	0	0.004	0.17	0.01	0	0.004	0.038	0.002	0	0.028	0.002	0	0.002	0.01	0	0	0.002	0	"Plaalb"	0.178	0.163566500142845	""	""	1	815	"Plaalb"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00020_000"	"noise"	0	0	126	0.206	""	""	""	""	""	"582ae419783121000fce8b4e"	0	0	0	0	0	0.01	0.002	0	0.002	0	0.018	0	0	0	0	0	0	0.008	0	0.02	0.012	0.006	0.002	0.006	0.002	0.002	0	0	0	0	0	0	0	0.002	0	0.016	0	0.004	0	0.002	0.008	0.008	0.012	0	0	0.012	0	0.008	0.026	0	0.014	0.012	0.43	0.012	0.002	0.002	0	0	0.006	0.004	0.024	0.004	0.016	0.008	0.026	0.01	0.002	0.006	0	0.004	0	0.014	0.002	0.002	0.002	0.004	0	0.002	0	0.014	0.002	0.034	0.002	0.022	0.002	0.004	0.038	0.002	0	0.074	0	0.004	0	0	0	0	0.006	0	"noise"	0.43	0.787857504351781	""	""	1	820	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00065_000"	"noise"	0.3	0.5	24	0.368	""	""	""	""	""	"582ae419783121000fce8b4e"	0.016	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0.002	0.014	0	0	0.004	0.002	0.004	0	0.002	0.002	0.004	0.008	0.006	0	0.004	0	0.002	0.002	0	0	0	0.004	0.02	0	0.004	0	0.022	0.002	0	0.002	0	0	0.012	0	0.004	0	0	0.002	0	0.382	0.008	0.01	0.002	0	0.002	0.018	0	0.034	0.004	0.002	0.008	0.012	0.004	0.014	0.016	0	0.028	0.008	0.012	0	0.01	0.002	0.002	0.004	0	0.002	0.004	0	0	0.024	0.032	0.002	0.004	0.036	0	0	0.114	0.004	0.036	0	0.002	0	0	0.002	0	"noise"	0.382	0.69041721925467	""	""	1	865	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00070_000"	"noise"	0	0.2	29	0.548	"Plaalb"	""	""	""	""	"582ae419783121000fce8b4e"	0.01	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0	0.02	0	0	0.012	0	0.006	0	0.004	0	0.006	0.006	0.012	0	0.002	0	0	0.002	0	0	0.004	0.004	0.034	0	0.002	0	0.012	0.004	0.006	0.004	0	0	0.016	0	0.004	0	0	0.002	0	0.386	0.01	0.008	0.002	0	0	0.012	0.004	0.022	0	0.006	0.014	0.008	0.008	0.006	0.012	0	0.022	0.004	0.002	0	0.008	0.002	0.006	0.004	0	0	0.004	0	0	0.026	0.026	0.002	0.002	0.07	0.002	0	0.116	0	0.016	0	0.002	0	0	0.004	0	"noise"	0.386	0.699426752557029	""	""	1	870	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00070_000"	"Plaalb"	0.1	0.2	30	0.216	""	""	""	""	""	"582ae419783121000fce8b4e"	0.002	0	0.004	0	0.008	0.016	0.006	0	0	0.01	0	0	0	0.008	0.192	0.002	0	0	0.002	0.008	0.016	0	0.038	0	0	0.002	0	0.002	0	0.004	0	0	0	0.022	0.004	0.012	0	0	0.002	0.008	0.004	0.002	0	0	0	0.004	0	0.006	0.006	0.004	0.002	0	0.014	0	0.024	0.01	0	0	0.01	0.006	0.016	0.002	0.014	0.008	0.018	0.004	0.042	0.164	0	0.024	0.018	0.01	0.032	0.002	0.006	0.012	0.002	0.006	0.002	0	0.004	0	0.05	0.01	0.002	0.004	0.046	0.002	0	0.016	0	0.004	0.002	0.01	0	0	0.008	0	"Confus"	0.192	0.0670558039480142	""	""	1	870	"Confus"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00140_000"	"noise"	0.2	0.5	70	0.39	""	""	""	""	""	"582ae419783121000fce8b4e"	0	0.002	0	0	0	0.002	0.002	0	0	0	0.004	0	0	0	0.004	0	0	0.018	0	0.016	0.002	0.006	0.002	0.006	0.002	0.006	0	0	0	0	0	0	0	0	0.002	0.008	0	0.002	0	0.004	0.008	0.004	0.024	0	0	0.018	0	0.014	0.002	0	0.014	0.002	0.46	0.014	0.004	0	0	0	0.006	0.004	0.038	0	0.02	0.006	0.01	0.01	0.002	0.008	0	0.01	0	0.006	0	0.008	0.002	0.006	0.002	0.002	0	0.004	0.004	0.008	0.008	0.024	0.006	0.006	0.04	0.002	0	0.088	0	0.008	0	0	0	0	0.01	0	"noise"	0.46	0.836279454114179	""	""	1	940	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00145_000"	"noise"	0	0.1	107	0.474	"Tetvir"	""	""	""	""	"582ae419783121000fce8b4e"	0	0	0	0	0	0.002	0.002	0	0	0	0.004	0	0	0	0.002	0	0	0.006	0	0.016	0.002	0.006	0.002	0.006	0.002	0.002	0	0	0	0	0	0	0	0	0	0.004	0	0.002	0	0.002	0.01	0.002	0.01	0	0	0.014	0	0.01	0.002	0	0.006	0.004	0.592	0.004	0.002	0	0	0	0.004	0.002	0.022	0	0.012	0.004	0.008	0.012	0.002	0.006	0	0.006	0	0.002	0	0.004	0.002	0.006	0.002	0.002	0	0.01	0.002	0.024	0.008	0.026	0.002	0.006	0.022	0	0	0.08	0	0.006	0	0	0	0	0.002	0	"noise"	0.592	0.954054732098421	""	""	1	945	"noise"	0
"Cir461-2014-Pass2-Tron1-Chiro_0_00295_000"	"noise"	0	0.4	204	0.692	""	""	""	""	""	"582ae419783121000fce8b4e"	0	0	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0.004	0	0	0.004	0	0.012	0.002	0.006	0.008	0.006	0.002	0.002	0	0	0	0	0	0	0	0	0.002	0.008	0	0.002	0	0	0.008	0.002	0.008	0	0	0.012	0	0.01	0.002	0	0.004	0.004	0.566	0.006	0.004	0.006	0	0	0.006	0.002	0.018	0	0.01	0.006	0.014	0.004	0.002	0.006	0	0.004	0	0.006	0.002	0.004	0.002	0.004	0.002	0.002	0	0.01	0	0.016	0.008	0.048	0.004	0.004	0.016	0.002	0	0.096	0	0.002	0	0.002	0	0	0.004	0	"noise"	0.566	0.940308951105469	""	""	1	1095	"noise"	0
