"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir750016-2011-Pass1-Tron1-Chiro_0_00000_000"	"noise"	0	0.5	204	0.734	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.032	0.002	0.002	0.004	0	0	0	0	0.01	0	0	0	0	0	0	0	0.064	0	0	0	0.004	0	0.008	0	0	0.004	0	0	0.006	0	0.022	0.004	0.282	0	0.004	0.05	0	0.008	0.01	0.01	0.098	0.006	0.018	0.012	0.012	0.128	0.014	0	0.004	0	0	0	0.02	0	0	0.002	0	0	0	0	0.02	0	0.016	0.01	0.02	0.006	0.022	0.008	0.002	0.052	0	0	0	0	0	0	0.002	"noise"	0.282	""	""	1	800	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00005_000"	"noise"	0	0.5	204	0.522	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.022	0.002	0.002	0.004	0	0	0	0	0.012	0	0	0	0	0	0	0	0.058	0	0	0	0.004	0	0.012	0	0	0.006	0	0.002	0.006	0	0.022	0.004	0.302	0	0.004	0.048	0	0.014	0.016	0.01	0.094	0.006	0.012	0.012	0.016	0.118	0.012	0	0.002	0	0	0	0.02	0	0	0.002	0.002	0	0	0	0.028	0	0.014	0.01	0.014	0.006	0.022	0.008	0.002	0.046	0	0	0	0	0	0	0.002	"noise"	0.302	""	""	1	805	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00010_000"	"noise"	0	0.5	161	0.548	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.02	0.002	0.002	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0	0.06	0	0	0	0.004	0	0.012	0	0	0.006	0	0.002	0.006	0	0.022	0.004	0.304	0	0.004	0.048	0	0.014	0.014	0.01	0.102	0.006	0.012	0.012	0.016	0.114	0.014	0	0.002	0	0	0	0.02	0	0	0.002	0.002	0	0	0	0.028	0	0.014	0.01	0.014	0.006	0.022	0.008	0.002	0.044	0	0	0	0	0	0	0.002	"noise"	0.304	""	""	1	810	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00015_000"	"noise"	0	0.5	26	0.586	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.01	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.03	0.002	0	0.004	0	0	0	0	0.008	0	0	0	0	0	0.002	0	0.098	0	0.002	0	0	0	0	0	0	0	0	0.002	0.004	0	0.016	0	0.238	0	0.01	0.008	0	0.08	0.026	0.006	0.124	0.012	0.01	0.008	0.004	0.086	0.008	0	0.006	0	0.006	0	0	0.012	0	0	0	0	0	0	0.002	0	0	0.04	0.01	0.022	0.008	0.018	0	0.062	0	0.004	0	0.006	0	0	0.002	"noise"	0.238	""	""	1	815	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00020_000"	"noise"	0	0.5	26	0.64	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.01	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.03	0.002	0	0.004	0	0	0	0	0.008	0	0	0	0	0	0.002	0	0.1	0	0.002	0	0	0	0	0	0	0	0	0.002	0.004	0	0.016	0	0.24	0	0.01	0.008	0	0.072	0.026	0.006	0.124	0.012	0.01	0.008	0.004	0.084	0.008	0	0.006	0	0.006	0	0	0.012	0	0	0	0	0	0	0.004	0	0	0.04	0.01	0.022	0.008	0.02	0	0.064	0	0.004	0	0.006	0	0	0.002	"noise"	0.24	""	""	1	820	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00025_000"	"noise"	0	0.5	204	0.752	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.032	0.002	0.002	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0	0.07	0	0	0	0.004	0	0.008	0	0	0.004	0	0	0.006	0	0.022	0.004	0.278	0	0.004	0.05	0	0.006	0.01	0.01	0.1	0.006	0.018	0.012	0.012	0.124	0.014	0	0.006	0	0	0	0.02	0	0	0.002	0	0	0	0	0.02	0	0.016	0.01	0.02	0.006	0.022	0.008	0.002	0.054	0	0	0	0	0	0	0.002	"noise"	0.278	""	""	1	825	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00030_000"	"noise"	0	0.5	204	0.744	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.032	0.002	0.002	0.004	0	0	0	0	0.008	0	0	0	0	0	0	0	0.066	0	0	0	0.004	0	0.008	0	0	0.004	0	0	0.006	0	0.022	0.004	0.282	0	0.004	0.05	0	0.008	0.01	0.01	0.098	0.006	0.018	0.012	0.012	0.126	0.014	0	0.006	0	0	0	0.02	0	0	0.002	0	0	0	0	0.02	0	0.016	0.01	0.02	0.006	0.022	0.008	0.002	0.052	0	0	0	0	0	0	0.002	"noise"	0.282	""	""	1	830	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00035_000"	"noise"	0	0.5	29	0.732	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.038	0.004	0.002	0.002	0	0	0	0	0.012	0	0	0	0	0	0.002	0	0.106	0	0.004	0	0	0	0.002	0	0	0	0	0.002	0.004	0	0.016	0	0.246	0	0.01	0.006	0	0.058	0.024	0.006	0.134	0.014	0.014	0.012	0.004	0.086	0.008	0	0.006	0	0.006	0	0	0.002	0	0	0	0	0	0	0.002	0	0	0.036	0.008	0.022	0.008	0.018	0.002	0.056	0	0.004	0	0.002	0	0	0.004	"noise"	0.246	""	""	1	835	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00040_000"	"noise"	0	0.3	30	0.76	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.04	0.004	0.002	0.004	0	0	0	0	0.012	0	0	0	0	0	0.002	0	0.122	0	0.004	0	0	0	0.002	0	0	0.002	0	0.002	0.004	0	0.016	0	0.246	0	0.01	0.004	0	0.052	0.026	0.008	0.126	0.012	0.018	0.014	0.004	0.074	0.008	0	0.012	0	0.006	0	0	0.002	0	0	0	0	0	0	0.002	0	0	0.034	0.008	0.022	0.008	0.018	0.002	0.05	0	0.004	0	0.002	0	0	0.004	"noise"	0.246	""	""	1	840	"noise"	0
"Cir750016-2011-Pass1-Tron1-Chiro_0_00045_000"	"noise"	0.2	0.3	181	0.55	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.02	0.002	0.002	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.068	0	0	0	0.004	0	0.01	0	0	0.006	0	0.002	0.006	0	0.022	0.004	0.31	0	0.004	0.042	0	0.012	0.014	0.01	0.094	0.006	0.012	0.012	0.016	0.12	0.014	0	0.002	0	0	0	0.024	0	0	0.002	0.002	0	0	0	0.028	0	0.012	0.01	0.012	0.006	0.022	0.008	0.002	0.046	0	0	0	0	0	0	0.002	"noise"	0.31	""	""	1	845	"noise"	0
