"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car291547-2017-Pass1-Z1-017329_0_20170609_215530_864"	"noise"	0	0.2	35	0.484	"Phogri, Testes"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.022	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.01	0	0	0.004	0	0.006	0.004	0.006	0.008	0	0.028	0.014	0	0.002	0	0.008	0	0	0	0.002	0.008	0.01	0	0.004	0	0.03	0	0.012	0	0	0.002	0.002	0	0.002	0.002	0.002	0.006	0.01	0.574	0.006	0.002	0.002	0	0.002	0.004	0.002	0.028	0.028	0.004	0.01	0.016	0.004	0	0.002	0	0.006	0	0.002	0.002	0	0.002	0	0.002	0	0	0.002	0.004	0.006	0.004	0.02	0.002	0.004	0.004	0	0	0.042	0	0.002	0	0	0	0	0.004	0	"noise"	0.574	0.944904951779305	""	""	"09/06/2017"	1497038130.864	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_215731_154"	"noise"	0	0.1	40	0.452	"Leppun"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.014	0	0	0	0	0.002	0	0	0	0	0.002	0	0	0	0.008	0	0	0.012	0	0.008	0.002	0.004	0.002	0.002	0.018	0.01	0	0.002	0	0.008	0	0	0	0	0.006	0.008	0	0	0	0.014	0.002	0.018	0.008	0	0.004	0.008	0	0.01	0.008	0	0.022	0.02	0.546	0.008	0.002	0	0	0	0	0.008	0.026	0.016	0.016	0.004	0.02	0.006	0	0	0	0.002	0	0.002	0.008	0.004	0.002	0.002	0.002	0	0	0.002	0	0.01	0.012	0.02	0.006	0	0.004	0	0	0.046	0	0	0	0	0	0	0.004	0	"noise"	0.546	0.927205256686072	""	""	"09/06/2017"	1497038251.154	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_215754_491"	"noise"	1.5	1.6	7	0.64	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.022	0	0	0	0	0.002	0	0	0.004	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.002	0.004	0	0.048	0.01	0	0.002	0	0	0	0	0	0.002	0.002	0.008	0.004	0.026	0	0.012	0	0	0	0	0	0	0	0	0	0	0.002	0.008	0.638	0.002	0.002	0.004	0	0.002	0	0	0.02	0.074	0	0.002	0.01	0.004	0.002	0	0	0.004	0	0.002	0.004	0.002	0	0	0	0	0	0.002	0	0	0.002	0.002	0	0.016	0	0	0	0.04	0	0	0	0	0	0	0	0	"noise"	0.638	0.971307550408836	""	""	"09/06/2017"	1497038274.491	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_215809_921"	"noise"	0	0.5	31	0.47	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.02	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.01	0	0	0.002	0	0.004	0.004	0.004	0.01	0.002	0.036	0.014	0	0.002	0	0.004	0	0	0	0.002	0.006	0.006	0	0.008	0	0.04	0	0.008	0	0	0.002	0	0	0	0.002	0	0.004	0.008	0.596	0.002	0.004	0.002	0	0.002	0.004	0	0.024	0.034	0	0.004	0.01	0.004	0.004	0.002	0	0.004	0	0.002	0.004	0	0.004	0	0	0	0	0.002	0.004	0.004	0.002	0.018	0	0.004	0.002	0	0	0.048	0	0.004	0	0	0	0	0.004	0	"noise"	0.596	0.955882110047985	""	""	"09/06/2017"	1497038289.921	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_220326_213"	"noise"	2.1	2.2	14	0.538	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.024	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.002	0.002	0.004	0	0.034	0.008	0	0.004	0	0.002	0	0	0	0.002	0	0.006	0	0.032	0	0.012	0	0	0	0	0	0	0	0	0	0	0.002	0.008	0.658	0.002	0.004	0.002	0	0.002	0.004	0	0.026	0.068	0	0.002	0.008	0.004	0.002	0.002	0	0.006	0	0.002	0.006	0.002	0	0	0	0	0	0.002	0	0.002	0.002	0.004	0	0.008	0	0	0	0.034	0	0	0	0	0	0	0	0	"noise"	0.658	0.976672178399423	""	""	"09/06/2017"	1497038606.213	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_220749_311"	"noise"	0.7	2.1	29	0.536	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.022	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.006	0	0	0.002	0	0.004	0.004	0.004	0.01	0	0.03	0.016	0	0.006	0	0.002	0	0	0	0.002	0.004	0.014	0	0.012	0	0.03	0	0.006	0	0	0	0	0	0	0.004	0	0.002	0.01	0.598	0.002	0.004	0.002	0	0.004	0.006	0	0.032	0.036	0	0.002	0.012	0.006	0.004	0.004	0	0.006	0	0.004	0.002	0.002	0	0	0	0	0	0.002	0.004	0.004	0.002	0.014	0	0.004	0.004	0	0	0.046	0	0.002	0	0	0	0	0	0	"noise"	0.598	0.956769603438552	""	""	"09/06/2017"	1497038869.311	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_221058_255"	"noise"	0	2.9	96	0.622	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.006	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.008	0	0	0.004	0	0.006	0	0.002	0.002	0	0.006	0.012	0	0	0	0.004	0	0	0	0	0.004	0.02	0	0	0	0.002	0	0.01	0.02	0	0	0.004	0	0.01	0.016	0	0.018	0.016	0.566	0.004	0	0.002	0	0	0	0	0.028	0.006	0.014	0.008	0.022	0.012	0	0	0	0.002	0	0.008	0.004	0	0	0	0	0	0	0.024	0.004	0.03	0.002	0.026	0.01	0	0.004	0	0	0.052	0	0	0	0	0	0	0	0	"noise"	0.566	0.940308951105469	""	""	"09/06/2017"	1497039058.255	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_221509_865"	"noise"	0	0.1	94	0.576	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.006	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.004	0	0	0.004	0	0.006	0	0.006	0	0	0.008	0.006	0	0	0	0.004	0	0	0	0	0.004	0.008	0	0	0	0.002	0	0.008	0.022	0	0	0.006	0	0.008	0.016	0	0.018	0.018	0.614	0.004	0	0.002	0	0	0	0.002	0.026	0.008	0.012	0.004	0.024	0.01	0	0	0	0.002	0	0.006	0.006	0	0	0.002	0	0	0	0.016	0	0.03	0.004	0.024	0.008	0	0.002	0	0	0.036	0	0	0	0	0	0	0	0	"noise"	0.614	0.963279729112691	""	""	"09/06/2017"	1497039309.865	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_221728_031"	"noise"	0	0.9	35	0.722	"Testes"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.024	0	0	0	0	0.004	0	0	0	0	0	0	0	0.004	0.012	0	0	0.004	0	0.006	0.002	0.004	0.006	0	0.024	0.022	0	0.002	0	0.006	0	0	0	0.002	0.006	0.024	0	0.008	0	0.024	0	0.008	0	0	0.002	0	0	0.006	0.002	0.002	0.006	0.014	0.524	0.004	0.002	0.002	0	0	0.004	0	0.028	0.042	0.008	0.008	0.03	0.006	0	0	0	0.004	0	0	0.002	0.002	0.002	0	0.002	0	0	0.002	0	0.01	0.004	0.02	0.002	0.004	0.008	0	0	0.054	0	0	0	0	0	0	0.002	0	"noise"	0.524	0.909766440522702	""	""	"09/06/2017"	1497039448.031	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170609_221802_000"	"noise"	0.1	1.7	39	0.592	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.016	0	0	0	0	0.002	0	0	0	0	0.002	0	0	0	0.014	0	0	0.008	0	0.012	0	0.004	0.012	0	0.014	0.016	0	0.002	0	0.008	0	0	0	0	0.006	0.022	0	0.002	0	0.01	0.002	0.012	0.008	0	0.002	0.006	0	0.01	0.006	0	0.016	0.022	0.534	0.008	0.002	0	0	0	0	0.006	0.024	0.018	0.01	0.006	0.014	0.004	0	0.002	0	0.002	0	0.004	0.006	0.004	0.002	0	0.002	0	0	0	0	0.008	0.004	0.02	0.006	0	0.006	0	0	0.072	0	0	0	0	0	0	0.002	0	"noise"	0.534	0.918117049645103	""	""	"09/06/2017"	1497039482	"noise"	0
