;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
ACCGEN;ACCGEN;Accipitriformes;Accipitrides;Autour des palombes;Accipiter gentilis;FALSE;non;oui;Accipiter gentilis;TRUE
ACCNIS;ACCNIS;Accipitriformes;Accipitrides;Epervier d'Europe;Accipiter nisus;FALSE;non;oui;Accipiter nisus;TRUE
ACRAGR;ACRAGR;Passeriformes;Sylvides;Rousserolle isabelle;Acrocephalus agricola;FALSE;non;oui;Acrocephalus agricola;FALSE
ACRARU;ACRARU;Passeriformes;Sylvides;Rousserolle turdoïde;Acrocephalus arundinaceus;FALSE;non;oui;Acrocephalus arundinaceus;TRUE
ACRDUM;ACRDUM;Passeriformes;Sylvides;Rousserolle des buissons;Acrocephalus dumetorum;FALSE;non;oui;Acrocephalus dumetorum Blyth;FALSE
ACRMEL;ACRMEL;Passeriformes;Sylvides;Lusciniole a  moustaches;Acrocephalus melanopogon;FALSE;non;oui;Acrocephalus melanopogon;FALSE
ACRPAL;ACRPAL;Passeriformes;Sylvides;Phragmite aquatique;Acrocephalus paludicola;FALSE;non;oui;Acrocephalus paludicola;FALSE
ACRRIS;ACRRIS;Passeriformes;Sylvides;Rousserolle verderolle;Acrocephalus palustris;FALSE;non;oui;Acrocephalus palustris;TRUE
ACRSCH;ACRSCH;Passeriformes;Sylvides;Phragmite des joncs;Acrocephalus schoenobaenus;FALSE;non;oui;Acrocephalus schoenobaenus;TRUE
ACRSCI;ACRSCI;Passeriformes;Sylvides;Rousserolle effarvate;Acrocephalus scirpaceus;FALSE;non;oui;Acrocephalus scirpaceus;TRUE
ACTHYP;ACTHYP;Charadriiformes;Scolopacides;Chevalier guignette;Actitis hypoleucos;FALSE;non;oui;Actitis hypoleucos;TRUE
ACTMAC;ACTMAC;Charadriiformes;Scolopacides;Chevalier grivele;Actitis macularia;FALSE;non;oui;Actitis macularia;FALSE
AEGCAU;AEGCAU;Passeriformes;Aagithalides;Mesange a  longue queue;Aegithalos caudatus;FALSE;non;oui;Aegithalos caudatus;TRUE
AEGFUN;AEGFUN;Strigiformes;Strigides;Chouette de Tengmalm;Aegolius funereus;FALSE;non;oui;Aegolius funereus;FALSE
AEGMON;AEGMON;Accipitriformes;Accipitrides;Vautour moine;Aegypius monachus;FALSE;non;oui;Aegypius monachus;FALSE
AGAROS;AGAROS;Psittaciformes;Psittacides;Inseparable rosegorge;Agapornis roseicollis;FALSE;non;oui;Agapornis roseicollis;FALSE
AIXGAL;AIXGAL;Anseriformes;Anatides;Canard mandarin;Aix galericulata;FALSE;non;oui;Aix galericulata;FALSE
AIXSPO;AIXSPO;Anseriformes;Anatides;Canard carolin;Aix sponsa;FALSE;non;oui;Aix sponsa;FALSE
ALAARV;ALAARV;Passeriformes;Alaudides;Alouette des champs;Alauda arvensis;TRUE;milieux agricoles;oui;Alauda arvensis;TRUE
ALCATT;ALCATT;Coraciiformes;Alcedinides;Martin-pecheur d'Europe;Alcedo atthis;FALSE;non;oui;Alcedo atthis;TRUE
