PARCELLEID	PARCELLENOM	ANNEE	TYPECULTURE	CONDUITEPARCELLE	REGION	AB_MOYENNE	AB_TOTALE	DIVERSITE_MOYENNE	DIVERSITE_TOTALE	NB_PASSAGES	AUTRES	NON_IDENTIFIES	AMARYLLIS	AURORES	BELLE_DAME	CITRONS	CUIVRE	DEMI_DEUILS	FLAMBES	GAZE	HESPERIDES_ORANGEES	HESPERIDES_TACHETEES	LYCENES_BLEUS	MACHAONS	MEGERES	MYRTIL	PAON_DU_JOUR	PETITES_TORTUES	PIERIDES_BLANCHES	PROCRIS	ROBERT_LE_DIABLE	SOUCIS	TABAC_D_ESPAGNE	TIRCIS	VULCAIN	SURFACE	LATITUDE	LONGITUDE	PAYSAGEINTENSIF	ESPECESCULTIVEES	TETEROTATIONEC	PCULTURAUXN1EC	PCULTURAUXN2EC	INTERCULTURE	DATESEMIS	TRAVAILSOL	ANNEEPLANTATION	INTERRANG	PRAIRIETEMPORAIRE	AGEPRAIRIE	ESEMEERGA	ESEMEERGI	ESEMEEDACTYLE	ESEMEEFETUQUE	ESEMEELEG	ESEMEEAUTRE	UPATURE	UPATURENBUGB	UFAUCHE	DATEDEBUTFAUCHE	NBFAUCHESPARAN	ANNEECONVERSION	NBPASSAGE_INSECTICIDE	NBPASSAGE_HERBICIDE	NBPASSAGE_FONGICIDE	NBPASSAGE_MOLLUCIDE	NBPASSAGE_AUTRE	NBPASSAGE_MINERALE	NBPASSAGE_F_ORGANIQUE	NBPASSAGE_A_ORGANIQUE	NBPASSAGE_CALCIQUE	CODE_EXPLOITATION	NOM_EXPLOITATION	INSEE	COMMUNE	NUM_DEPARTEMENT	DEPARTEMENT	CODE_RESEAU	NOM_RESEAU	NOM_RESEAU2	BORDURE_LISIERE	BORDURE_HAIE	BORDURE_BE	BORDURE_ROUTE	BORDURE_FOSSE	BORDURE_AUCUNE	BORDURE_BANDEFLEURIE	BORDURE_AUTRE	MA_AUTRECULTURE	MA_PRAIRIE	MA_BOIS	MA_ZURBAINE	MA_ETANG	MA_AUTRE	DISTANCE_PARCOURUE	NR	NR
0000041_SQ7JB_0034048	LA_FAISANDERIE	2012	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	3.8	19	1.33333333333333	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0.4	0	0	0	0	0	5	48.851323	1.92986	0	TRITICALE	BLE	COLZA	LUZERNE	0	06_09_2011__00:00:00	LABOUR_PROFOND	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	1	0	1	0	0	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	1	0	1	0	0	0	0	0	0	0	0	1	200	NR	NR
0000041_SQ7JB_0034048	LA_FAISANDERIE	2013	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	3.5	14	2	6	4	0	0	0	0	0	0	0	0.25	0	0	0	0.75	0	0	0	0.75	0.25	0	1	0	0	0	0	0	0.5	5	48.851323	1.92986	0	TRITICALE	BLE	COLZA	LUZERNE	0	06_09_2011__00:00:00	LABOUR_PROFOND	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	1	0	1	0	0	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	1	0	1	0	0	0	0	0	0	0	0	1	200	NR	NR
0000081_GP8M7_0034048	COIN_DU_MUR	2012	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	2.4	12	1.75	4	5	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.2	0	0	1.8	0	0	0	0	0	0.2	18	48.842794	1.952176	1	BLE	BLE	MA?S	TRITICALE	0	21_10_2011__00:00:00	TRAVAIL_SUPERFICIEL	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	2	0	1	1	1	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	200	NR	NR
0000081_GP8M7_0034048	COIN_DU_MUR	2013	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	1.25	5	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	18	48.842794	1.952176	1	BLE	BLE	MA?S	TRITICALE	0	21_10_2011__00:00:00	TRAVAIL_SUPERFICIEL	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	2	0	1	1	1	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	200	NR	NR
0000102_GZZ77_0034048	PONTS_CAILLOUX	2012	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	7.6	38	1.75	5	5	0	0	0	0	0	0	0	5.6	0	0	0.2	0.4	1.2	0	0	0	0	0	0.2	0	0	0	0	0	0	15	48.838493	1.92956	1	LUZERNE	BLE	LUZERNE	LUZERNE	0	22_07_2009__00:00:00	TRAVAIL_SUPERFICIEL	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	0	0	0	0	0	0	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	200	NR	NR
0000102_GZZ77_0034048	PONTS_CAILLOUX	2013	GRANDE_CULTURE	CONVENTIONNELLE	ILE_DE_FRANCE	7.5	30	3	6	4	0	0	0	0	0.25	0	0	1.75	0	0	0	0	0.5	0	0	0	0	0.25	1.25	0	0	3.5	0	0	0	15	48.838493	1.92956	1	LUZERNE	BLE	LUZERNE	LUZERNE	0	22_07_2009__00:00:00	TRAVAIL_SUPERFICIEL	NR	NR	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	0	0	0	0	0	0	0	NR	141	FERME_EXPERIMENTALE_DE_GRIGNON	78615	THIVERVAL_GRIGNON	78	YVELINES	102	BIODIVERSITE_EN_PLAINE_DE_VERSAILLES_ET_SUR_LE_PLATEAU_DES_ALLUETS	NR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	200	NR	NR
0000161_AAWHJ_0020323	PLUMECOQ	2012	VITICULTURE	AUTRE	CHAMPAGNE_ARDENNE	14	42	2	4	3	0	0.333333333333333	0.333333333333333	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	0	0	12	0	0	0	0	0	0	10	49.016707	3.983231	1	VIGNE	NR	NR	NR	NR	NR	NR	0	ENHERBE	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	8	0	0	0	1	0	NR	361	CIVC	51230	EPERNRY	51	MARNE	81	AOC_CHAMPAGNE	NR	0	1	1	1	0	1	0	0	1	0	0	0	0	0	500	NR	NR
0000161_AAWHJ_0020323	PLUMECOQ	2013	VITICULTURE	AUTRE	CHAMPAGNE_ARDENNE	6.33333333333333	19	1.66666666666667	2	3	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66666666666667	3	0	0	0	0	0	10	49.016707	3.983231	1	VIGNE	NR	NR	NR	NR	NR	NR	0	ENHERBE	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	0	1	8	0	0	0	1	0	NR	361	CIVC	51230	EPERNRY	51	MARNE	81	AOC_CHAMPAGNE	NR	0	0	1	1	0	1	0	0	1	0	0	0	0	0	500	NR	NR
0000221_KP6JJ_0020518	LE_TOURNRNT	2012	VITICULTURE	AUTRE	CHAMPAGNE_ARDENNE	8.66666666666667	26	1.33333333333333	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	8	0	0	0	0	0	0.333333333333333	1	48.806863	3.339844	1	VIGNE	NR	NR	NR	NR	NR	NR	0	ENHERBE_PARTIELLEMENT	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	1	0	8	0	0	0	1	0	NR	501	EARL_THEVENET_DELOUVIN	51425	PASSY_GRIGNY	51	MARNE	81	AOC_CHAMPAGNE	NR	0	0	1	1	0	0	0	0	1	0	0	0	0	0	400	NR	NR
0000221_KP6JJ_0020518	LE_TOURNRNT	2013	VITICULTURE	AUTRE	CHAMPAGNE_ARDENNE	1.33333333333333	4	1	2	3	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1	48.806863	3.339844	1	VIGNE	NR	NR	NR	NR	NR	NR	0	ENHERBE_PARTIELLEMENT	NR	NR	0	0	0	0	0	0	0	NR	0	NR	NR	NR	1	0	8	0	0	0	1	0	NR	501	EARL_THEVENET_DELOUVIN	51425	PASSY_GRIGNY	51	MARNE	81	AOC_CHAMPAGNE	NR	0	0	1	1	0	0	0	0	1	0	0	0	0	0	400	NR	NR
