"","species","year","week","DAYNO","DAYNO_adj","nm"
"1","Pyronia tithonus",2003,0,1,1,0
"2","Pyronia tithonus",2003,0,2,2,0
"3","Pyronia tithonus",2003,0,3,3,0
"4","Pyronia tithonus",2003,0,4,4,0
"5","Pyronia tithonus",2003,0,5,5,0
"6","Pyronia tithonus",2003,1,6,6,0
"7","Pyronia tithonus",2003,1,7,7,0
"8","Pyronia tithonus",2003,1,8,8,0
"9","Pyronia tithonus",2003,1,9,9,0
"10","Pyronia tithonus",2003,1,10,10,0
"11","Pyronia tithonus",2003,1,11,11,0
"12","Pyronia tithonus",2003,1,12,12,0
"13","Pyronia tithonus",2003,2,13,13,0
"14","Pyronia tithonus",2003,2,14,14,0
"15","Pyronia tithonus",2003,2,15,15,0
"16","Pyronia tithonus",2003,2,16,16,0
"17","Pyronia tithonus",2003,2,17,17,0
"18","Pyronia tithonus",2003,2,18,18,0
"19","Pyronia tithonus",2003,2,19,19,0
"20","Pyronia tithonus",2003,3,20,20,0
"21","Pyronia tithonus",2003,3,21,21,0
"22","Pyronia tithonus",2003,3,22,22,0
"23","Pyronia tithonus",2003,3,23,23,0
"24","Pyronia tithonus",2003,3,24,24,0
"25","Pyronia tithonus",2003,3,25,25,0
"26","Pyronia tithonus",2003,3,26,26,0
"27","Pyronia tithonus",2003,4,27,27,0
"28","Pyronia tithonus",2003,4,28,28,0
"29","Pyronia tithonus",2003,4,29,29,0
"30","Pyronia tithonus",2003,4,30,30,0
"31","Pyronia tithonus",2003,4,31,31,0
"32","Pyronia tithonus",2003,4,32,32,0
"33","Pyronia tithonus",2003,4,33,33,0
"34","Pyronia tithonus",2003,5,34,34,0
"35","Pyronia tithonus",2003,5,35,35,0
"36","Pyronia tithonus",2003,5,36,36,0
"37","Pyronia tithonus",2003,5,37,37,0
"38","Pyronia tithonus",2003,5,38,38,0
"39","Pyronia tithonus",2003,5,39,39,0
"40","Pyronia tithonus",2003,5,40,40,0
"41","Pyronia tithonus",2003,6,41,41,0
"42","Pyronia tithonus",2003,6,42,42,0
"43","Pyronia tithonus",2003,6,43,43,0
"44","Pyronia tithonus",2003,6,44,44,0
"45","Pyronia tithonus",2003,6,45,45,0
"46","Pyronia tithonus",2003,6,46,46,0
"47","Pyronia tithonus",2003,6,47,47,0
"48","Pyronia tithonus",2003,7,48,48,0
"49","Pyronia tithonus",2003,7,49,49,0
"50","Pyronia tithonus",2003,7,50,50,0
"51","Pyronia tithonus",2003,7,51,51,0
"52","Pyronia tithonus",2003,7,52,52,0
"53","Pyronia tithonus",2003,7,53,53,0
"54","Pyronia tithonus",2003,7,54,54,0
"55","Pyronia tithonus",2003,8,55,55,0
"56","Pyronia tithonus",2003,8,56,56,0
"57","Pyronia tithonus",2003,8,57,57,0
"58","Pyronia tithonus",2003,8,58,58,0
"59","Pyronia tithonus",2003,8,59,59,0
"60","Pyronia tithonus",2003,8,60,60,1.0616328830694e-18
"61","Pyronia tithonus",2003,8,61,61,1.48047079501848e-18
"62","Pyronia tithonus",2003,9,62,62,2.06454962902593e-18
"63","Pyronia tithonus",2003,9,63,63,2.87906062385912e-18
"64","Pyronia tithonus",2003,9,64,64,4.01491441974529e-18
"65","Pyronia tithonus",2003,9,65,65,5.59888793736904e-18
"66","Pyronia tithonus",2003,9,66,66,7.80777442753183e-18
"67","Pyronia tithonus",2003,9,67,67,1.08881160318181e-17
"68","Pyronia tithonus",2003,9,68,68,1.51837212796895e-17
"69","Pyronia tithonus",2003,10,69,69,2.11740388535154e-17
"70","Pyronia tithonus",2003,10,70,70,2.95276706619937e-17
"71","Pyronia tithonus",2003,10,71,71,4.11769970176674e-17
"72","Pyronia tithonus",2003,10,72,72,5.7422243115688e-17
"73","Pyronia tithonus",2003,10,73,73,8.00766020655272e-17
"74","Pyronia tithonus",2003,10,74,74,1.11668612203849e-16
"75","Pyronia tithonus",2003,10,75,75,1.55724376782737e-16
"76","Pyronia tithonus",2003,11,76,76,2.17161125635768e-16
"77","Pyronia tithonus",2003,11,77,77,3.02836045721916e-16
"78","Pyronia tithonus",2003,11,78,78,4.22311637591647e-16
"79","Pyronia tithonus",2003,11,79,79,5.88923022093312e-16
"80","Pyronia tithonus",2003,11,80,80,8.21266323441656e-16
"81","Pyronia tithonus",2003,11,81,81,1.14526704655643e-15
"82","Pyronia tithonus",2003,11,82,82,1.59703016415414e-15
"83","Pyronia tithonus",2003,12,83,83,2.22682804364294e-15
