;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
ACCGEN;ACCGEN;Accipitriformes;Accipitridés;Autour des palombes;Accipiter gentilis;FALSE;non;oui;Accipiter gentilis;TRUE
ACCNIS;ACCNIS;Accipitriformes;Accipitridés;Epervier d'Europe;Accipiter nisus;FALSE;non;oui;Accipiter nisus;TRUE
ACRAGR;ACRAGR;Passériformes;Sylvidés;Rousserolle isabelle;Acrocephalus agricola;FALSE;non;oui;Acrocephalus agricola;FALSE
ACRARU;ACRARU;Passériformes;Sylvidés;Rousserolle turdoïde;Acrocephalus arundinaceus;FALSE;non;oui;Acrocephalus arundinaceus;TRUE
ACRDUM;ACRDUM;Passériformes;Sylvidés;Rousserolle des buissons;Acrocephalus dumetorum;FALSE;non;oui;Acrocephalus dumetorum Blyth;FALSE
ACRMEL;ACRMEL;Passériformes;Sylvidés;Lusciniole à  moustaches;Acrocephalus melanopogon;FALSE;non;oui;Acrocephalus melanopogon;FALSE
ACRPAL;ACRPAL;Passériformes;Sylvidés;Phragmite aquatique;Acrocephalus paludicola;FALSE;non;oui;Acrocephalus paludicola;FALSE
ACRRIS;ACRRIS;Passériformes;Sylvidés;Rousserolle verderolle;Acrocephalus palustris;FALSE;non;oui;Acrocephalus palustris;TRUE
ACRSCH;ACRSCH;Passériformes;Sylvidés;Phragmite des joncs;Acrocephalus schoenobaenus;FALSE;non;oui;Acrocephalus schoenobaenus;TRUE
ACRSCI;ACRSCI;Passériformes;Sylvidés;Rousserolle effarvate;Acrocephalus scirpaceus;FALSE;non;oui;Acrocephalus scirpaceus;TRUE
ACTHYP;ACTHYP;Charadriiformes;Scolopacidés;Chevalier guignette;Actitis hypoleucos;FALSE;non;oui;Actitis hypoleucos;TRUE
ACTMAC;ACTMAC;Charadriiformes;Scolopacidés;Chevalier grivelé;Actitis macularia;FALSE;non;oui;Actitis macularia;FALSE
AEGCAU;AEGCAU;Passériformes;Aagithalidés;Mésange à  longue queue;Aegithalos caudatus;FALSE;non;oui;Aegithalos caudatus;TRUE
AEGFUN;AEGFUN;Strigiformes;Strigidés;Chouette de Tengmalm;Aegolius funereus;FALSE;non;oui;Aegolius funereus;FALSE
AEGMON;AEGMON;Accipitriformes;Accipitridés;Vautour moine;Aegypius monachus;FALSE;non;oui;Aegypius monachus;FALSE
AGAROS;AGAROS;Psittaciformes;Psittacidés;Inséparable rosegorge;Agapornis roseicollis;FALSE;non;oui;Agapornis roseicollis;FALSE
AIXGAL;AIXGAL;Ansériformes;Anatidés;Canard mandarin;Aix galericulata;FALSE;non;oui;Aix galericulata;FALSE
AIXSPO;AIXSPO;Ansériformes;Anatidés;Canard carolin;Aix sponsa;FALSE;non;oui;Aix sponsa;FALSE
ALAARV;ALAARV;Passériformes;Alaudidés;Alouette des champs;Alauda arvensis;TRUE;milieux agricoles;oui;Alauda arvensis;TRUE
ALCATT;ALCATT;Coraciiformes;Alcédinidés;Martin-pêcheur d'Europe;Alcedo atthis;FALSE;non;oui;Alcedo atthis;TRUE
ALCTOR;ALCTOR;Charadriiformes;Alcidés;Pingouin torda;Alca torda;FALSE;non;oui;Alca torda;FALSE
ALEBAR;ALEBAR;Galliformes;Phasianidés;Perdrix gambra;Alectoris barbara;FALSE;non;oui;Alectoris barbara;FALSE
ALECHU;ALECHU;Galliformes;Phasianidés;Perdrix choukar;Alectoris chukar;FALSE;non;oui;Alectoris chukar;FALSE
ALEGRA;ALEGRA;Galliformes;Phasianidés;Perdrix bartavelle;Alectoris graeca;FALSE;non;oui;Alectoris graeca;FALSE
ALERUF;ALERUF;Galliformes;Phasianidés;Perdrix rouge;Alectoris rufa;TRUE;milieux agricoles;oui;Alectoris rufa;TRUE
ALLALL;ALLALL;Charadriiformes;Alcidés;Mergule nain;Alle alle;FALSE;non;oui;Alle alle;FALSE
ALOAEG;ALOAEG;Ansériformes;Anatidés;Ouette d'Egypte;Alopochen aegyptiacus;FALSE;non;oui;Alopochen aegyptiacus;FALSE
ANAACU;ANAACU;Ansériformes;Anatidés;Canard pilet;Anas acuta;FALSE;non;oui;Anas acuta;FALSE
ANAAME;ANAAME;Ansériformes;Anatidés;Canard à  front blanc;Anas americana;FALSE;non;oui;Anas americana Gmelin;FALSE
ANACLY;ANACLY;Ansériformes;Anatidés;Canard souchet;Anas clypeata;FALSE;non;oui;Anas clypeata;FALSE
ANACRE;ANACRE;Ansériformes;Anatidés;Sarcelle d'hiver;Anas crecca;FALSE;non;oui;Anas crecca;FALSE
ANADIS;ANADIS;Ansériformes;Anatidés;Sarcelle à  ailes bleues;Anas discors;FALSE;non;oui;Anas discors;FALSE
ANAFOR;ANAFOR;Ansériformes;Anatidés;Sarcelle élégante;Anas formosa;FALSE;non;oui;Anas formosa Georgi;FALSE
ANAPEN;ANAPEN;Ansériformes;Anatidés;Canard siffleur;Anas penelope;FALSE;non;oui;Anas penelope;FALSE
ANAPLA;ANAPLA;Ansériformes;Anatidés;Canard colvert;Anas platyrhynchos;FALSE;non;oui;Anas platyrhynchos;TRUE
ANAQUE;ANAQUE;Ansériformes;Anatidés;Sarcelle d'été;Anas querquedula;FALSE;non;oui;Anas querquedula;FALSE
ANARUB;ANARUB;Ansériformes;Anatidés;Canard noir;Anas rubripes;FALSE;non;oui;Anas rubripes Brewster;FALSE
ANASTR;ANASTR;Ansériformes;Anatidés;Canard chipeau;Anas strepera;FALSE;non;oui;Anas strepera;FALSE
ANSALB;ANSALB;Ansériformes;Anatidés;Oie rieuse;Anser albifrons;FALSE;non;oui;Anser albifrons;FALSE
ANSANS;ANSANS;Ansériformes;Anatidés;Oie cendrée;Anser anser;FALSE;non;oui;Anser anser;FALSE
ANSBRA;ANSBRA;Ansériformes;Anatidés;Oie à  bec court;Anser brachyrhynchus;FALSE;non;oui;Anser brachyrhynchus Baillon;FALSE
ANSCAE;ANSCAE;Ansériformes;Anatidés;Oie des neiges;Anser caerulescens;FALSE;non;oui;Anser caerulescens;FALSE
ANSERY;ANSERY;Ansériformes;Anatidés;Oie naine;Anser erythropus;FALSE;non;oui;Anser erythropus;FALSE
ANSFAB;ANSFAB;Ansériformes;Anatidés;Oie des moissons;Anser fabalis;FALSE;non;oui;Anser fabalis;FALSE
ANSIND;ANSIND;Anatidés;Anatidés;Oie à  tête barrée;Anser indicus;FALSE;non;oui;Anser indicus;FALSE
